,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North,North-West,West,East,North-East,South,South-West,South-East
2019-04-01,,,,,15.302083333333336,82.72916666666667,15.466666666666669,15.14930555555555,,,,,,,0.03472222222222222,1,0,0,0,0,0,0,0,0
2019-04-02,,,,,15.80833333333333,76.69444444444444,15.958333333333343,15.668055555555558,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-03,,,,,15.43055555555555,78.34027777777777,15.589583333333334,15.27777777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-04,,,,,16.347222222222214,87.06944444444444,16.470138888888883,16.21319444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-05,,,,,16.604861111111106,84.74305555555556,16.729166666666675,16.481250000000003,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-06,,,,,16.981249999999996,86.28472222222223,17.09305555555555,16.863194444444442,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-07,,,,,20.59791666666667,65.6875,20.783333333333335,20.411805555555564,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-08,,,,,18.483333333333327,83.875,18.612499999999997,18.35972222222221,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-09,,,,,18.144444444444442,82.10416666666667,18.317361111111108,17.985416666666673,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-10,,,,,17.27430555555556,77.125,17.43263888888889,17.114583333333343,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-11,,,,,16.410416666666663,78.79861111111111,16.57361111111112,16.258333333333326,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-12,,,,,17.316666666666666,83.34722222222223,17.470833333333328,17.169444444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-13,,,,,17.862500000000004,89.29861111111111,17.987500000000008,17.7326388888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-14,,,,,20.19166666666665,68.59722222222223,20.34097222222222,20.049999999999997,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-15,,,,,17.127083333333328,85.15972222222223,17.260416666666664,16.998611111111114,,,,,,,0.002777777777777778,1,0,0,0,0,0,0,0,0
2019-04-16,,,,,17.697916666666668,82.50694444444444,17.834722222222222,17.554861111111112,,,,,,,0.001388888888888889,1,0,0,0,0,0,0,0,0
2019-04-17,,,,,17.916666666666664,77.95833333333333,18.05208333333333,17.781250000000004,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-18,,,,,17.454861111111114,72.11111111111111,17.616666666666674,17.297222222222224,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-04-19,,,,,17.28055555555555,72.78472222222223,17.437500000000007,17.13541666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-20,,,,,17.21875,74.04861111111111,17.390972222222217,17.05972222222223,,,,,,,0.002777777777777778,1,0,0,0,0,0,0,0,0
2019-04-21,,,,,16.172916666666666,66.78472222222223,16.35972222222222,15.987500000000002,,,,,,,0.010416666666666666,1,0,0,0,0,0,0,0,0
2019-04-22,,,,,16.45347222222221,63.791666666666664,16.63125000000001,16.26874999999999,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-23,,,,,15.800000000000002,71.42361111111111,15.981249999999996,15.631250000000003,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-24,,,,,17.953472222222224,74.88888888888889,18.135416666666668,17.781250000000004,,,,,,,0.0,1,0,0,0,0,0,0,0,0
