,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-02-15,8.236805555555556,228.80555555555554,6.040277777777777,7.689583333333336,14.216666666666663,39.0,14.383333333333338,14.068055555555556,,,,7.209027777777779,6.363194444444444,1165.423611111111,0.0,0,0,1,0,0,0,0,0
2019-02-16,4.393749999999999,204.58333333333334,3.0958333333333314,10.99722222222222,13.502777777777782,53.208333333333336,13.675000000000002,13.350694444444445,,,,3.846527777777777,3.345138888888888,1181.701388888889,0.0,0,0,1,0,0,0,0,0
2019-02-17,2.9312499999999995,201.56944444444446,1.765972222222222,15.23472222222222,13.025000000000004,46.06944444444444,13.281944444444447,12.77708333333333,,,,2.510416666666666,2.0354166666666655,1166.1944444444443,0.0,0,0,1,0,0,0,0,0
2019-02-18,3.428671328671329,179.7762237762238,2.0986013986013994,16.186713286713296,11.741258741258738,69.81818181818181,11.939860139860146,11.557342657342655,,,,2.869230769230769,2.3846153846153846,1165.7202797202797,0.015384615384615385,0,1,0,0,0,0,0,0
2019-02-19,2.56875,161.59722222222223,1.5986111111111112,15.211805555555559,12.884027777777785,70.40972222222223,13.031944444444438,12.73541666666666,,,,2.2416666666666663,1.84513888888889,1183.361111111111,0.0,0,1,0,0,0,0,0,0
2019-02-20,2.430555555555553,130.5,1.530555555555556,13.790972222222221,13.138194444444444,67.72222222222223,13.322916666666668,12.966666666666674,,,,2.1104166666666666,1.7312500000000004,1182.201388888889,0.0,0,1,0,0,0,0,0,0
2019-02-21,3.4590277777777785,132.28472222222223,2.2152777777777786,12.984722222222226,13.434722222222227,64.49305555555556,13.612499999999997,13.263194444444448,,,,2.9888888888888885,2.4729166666666673,1182.25,0.0,0,1,0,0,0,0,0,0
2019-02-22,2.316666666666668,145.15972222222223,1.3715277777777772,14.213888888888889,12.931944444444445,64.9375,13.115972222222215,12.746527777777775,,,,1.9847222222222218,1.6097222222222218,1182.5277777777778,0.0,0,1,0,0,0,0,0,0
2019-02-23,2.4868055555555566,142.71527777777777,1.561111111111111,16.325,13.616666666666667,59.96527777777778,13.851388888888884,13.38680555555555,,,,2.1673611111111106,1.804861111111111,1181.2222222222222,0.0,0,1,0,0,0,0,0,0
2019-02-24,2.4951388888888886,149.9375,1.6236111111111107,9.878472222222221,13.78402777777778,62.65972222222222,13.998611111111106,13.605555555555556,,,,2.155555555555556,1.7854166666666653,1182.263888888889,0.0,0,1,0,0,0,0,0,0
2019-02-25,3.546527777777778,150.59722222222223,2.4833333333333325,10.59166666666666,15.372916666666676,49.361111111111114,15.606249999999996,15.14583333333333,,,,3.154861111111112,2.70625,1182.3333333333333,0.0,0,1,0,0,0,0,0,0
2019-02-26,4.220138888888891,223.32638888888889,2.74375,18.509027777777774,18.39583333333334,26.145833333333332,18.716666666666676,18.069444444444457,,,,3.634722222222223,3.05763888888889,1166.138888888889,0.0,0,0,1,0,0,0,0,0
2019-02-27,6.640277777777777,233.22916666666666,4.70625,9.334722222222219,16.954861111111125,42.826388888888886,17.136111111111106,16.78402777777778,,,,5.764583333333333,4.981249999999999,1166.7222222222222,0.0,0,0,1,0,0,0,0,0
2019-02-28,9.68263888888889,235.07638888888889,6.702083333333334,10.881944444444445,14.801388888888887,48.1875,14.955555555555557,14.654861111111106,,,,8.179166666666665,7.074305555555556,1165.923611111111,0.002777777777777778,0,0,1,0,0,0,0,0
2019-03-01,4.162499999999998,191.86805555555554,2.863888888888888,14.935416666666672,12.713888888888892,58.13194444444444,12.828472222222226,12.615277777777777,,,,3.59375,3.118750000000001,1183.513888888889,0.0,0,0,1,0,0,0,0,0
2019-03-02,3.305555555555555,195.57638888888889,2.207638888888888,13.479166666666671,14.375,51.166666666666664,14.549999999999999,14.211111111111107,,,,2.901388888888888,2.4284722222222217,1181.3819444444443,0.0,0,0,1,0,0,0,0,0
