,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,East,West,South
2019-04-01,8.443055555555555,228.375,6.297222222222224,8.62777777777778,15.180555555555564,78.70833333333333,15.31944444444445,15.033333333333328,,,,7.343749999999998,6.62847222222222,1181.826388888889,0.08263888888888889,0,0,0,1,0,0,0,0
2019-04-02,4.62013888888889,203.47222222222223,3.490277777777779,8.624305555555557,15.3763888888889,76.10416666666667,15.509027777777773,15.254861111111104,,,,4.070833333333334,3.6715277777777806,1181.6527777777778,0.0,0,0,0,1,0,0,0,0
2019-04-03,5.727777777777778,119.52777777777777,4.831944444444444,6.759027777777778,15.279166666666665,79.48611111111111,15.441666666666666,15.129861111111119,,,,5.289583333333333,4.99375,1166.2777777777778,0.0,0,1,0,0,0,0,0,0
2019-04-04,4.804166666666667,176.28472222222223,3.993055555555553,11.76041666666666,16.27361111111111,88.11805555555556,16.418055555555547,16.140277777777783,,,,4.479166666666663,4.141666666666666,1182.4722222222222,0.0,0,1,0,0,0,0,0,0
2019-04-05,4.344444444444443,207.93055555555554,3.447222222222223,8.959027777777784,16.290972222222205,85.69444444444444,16.438194444444463,16.162499999999994,,,,3.976388888888889,3.605555555555556,1181.7083333333333,0.0,0,0,0,1,0,0,0,0
2019-04-06,4.4847222222222225,80.39583333333333,3.640277777777779,9.959722222222226,16.770138888888894,87.89583333333333,16.906944444444445,16.643055555555556,,,,4.159027777777776,3.859027777777778,1165.8333333333333,0.0,1,0,0,0,0,0,0,0
2019-04-07,3.7791666666666655,143.38194444444446,2.855555555555556,8.95972222222222,20.911805555555567,62.541666666666664,21.10277777777778,20.722916666666674,,,,3.368055555555556,3.0250000000000012,1167.236111111111,0.0,0,1,0,0,0,0,0,0
2019-04-08,3.314583333333333,223.44444444444446,2.501388888888888,9.501388888888885,17.77847222222222,88.13194444444444,17.907638888888883,17.671527777777776,,,,2.947916666666667,2.6624999999999988,1182.513888888889,0.0,0,0,0,1,0,0,0,0
2019-04-09,5.31736111111111,236.00694444444446,4.088194444444446,10.886805555555556,17.40555555555555,85.6875,17.566666666666666,17.256944444444443,,,,4.790972222222224,4.3305555555555575,1181.173611111111,0.0,0,0,0,1,0,0,0,0
2019-04-10,4.6090277777777775,226.59722222222223,3.581944444444445,9.140277777777781,16.596527777777784,78.41666666666667,16.740972222222222,16.470138888888883,,,,4.124999999999999,3.735416666666668,1183.0069444444443,0.0,0,0,0,1,0,0,0,0
2019-04-11,6.159027777777779,162.24305555555554,5.114583333333334,6.5972222222222205,16.229861111111102,80.06944444444444,16.413194444444446,16.061111111111114,,,,5.668055555555555,5.261111111111111,1165.7847222222222,0.0,0,1,0,0,0,0,0,0
2019-04-12,6.304166666666668,141.35416666666666,5.226388888888889,7.152777777777776,16.955555555555556,85.54166666666667,17.080555555555552,16.833333333333332,,,,5.79236111111111,5.376388888888893,1182.7916666666667,0.0,0,1,0,0,0,0,0,0
2019-04-13,4.209027777777779,144.84027777777777,3.2298611111111137,8.622916666666665,17.872916666666672,90.3125,18.007638888888902,17.740277777777788,,,,3.7666666666666657,3.4277777777777785,1182.7222222222222,0.0,0,1,0,0,0,0,0,0
