,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,North,East,West,South-East,South,North-East
2019-04-01,7.4486111111111155,210.1875,5.059722222222221,13.466666666666663,16.093055555555562,52.895833333333336,16.197916666666668,15.979166666666666,,,,6.390972222222224,5.418750000000001,1165.951388888889,0.0,0,1,0,0,0,0,0,0
2019-04-02,4.7951388888888875,219.32638888888889,3.3833333333333337,12.835416666666665,16.780555555555548,50.90277777777778,16.960416666666667,16.626388888888894,,,,4.204861111111111,3.6388888888888897,1182.076388888889,0.0,0,1,0,0,0,0,0,0
2019-04-03,3.884722222222222,173.15972222222223,2.805555555555556,12.859027777777778,17.67222222222222,47.21527777777778,17.831249999999997,17.520833333333336,,,,3.4333333333333322,3.004861111111112,1182.9722222222222,0.0,0,1,0,0,0,0,0,0
2019-04-04,4.8666666666666645,219.71527777777777,3.4416666666666678,13.264583333333336,19.56319444444445,46.833333333333336,19.759722222222223,19.37847222222223,,,,4.346527777777778,3.7909722222222237,1166.2708333333333,0.0,0,1,0,0,0,0,0,0
2019-04-05,5.720138888888887,202.92361111111111,4.039583333333335,15.070833333333335,18.618750000000002,53.166666666666664,18.81180555555556,18.42430555555555,,,,4.964583333333334,4.336805555555556,1181.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-04-06,3.936111111111111,167.20138888888889,2.7201388888888887,14.768749999999999,18.875694444444438,53.94444444444444,19.01041666666667,18.736805555555556,,,,3.50486111111111,2.988888888888889,1182.2708333333333,0.0,1,0,0,0,0,0,0,0
2019-04-07,3.6458333333333335,187.89583333333334,2.5500000000000003,16.02222222222223,23.15138888888888,42.416666666666664,23.359027777777772,22.957638888888894,,,,3.206944444444444,2.783333333333333,1165.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-04-08,5.297222222222221,214.46527777777777,3.7354166666666657,15.586111111111112,23.51874999999999,38.333333333333336,23.751388888888897,23.303472222222226,,,,4.616666666666664,4.031944444444443,1164.7916666666667,0.0,0,1,0,0,0,0,0,0
2019-04-09,6.546527777777777,203.85416666666666,4.731944444444446,13.676388888888887,21.718750000000007,41.229166666666664,21.917361111111113,21.53125,,,,5.696527777777778,5.003472222222221,1181.826388888889,0.0,0,1,0,0,0,0,0,0
2019-04-10,6.677777777777778,210.20138888888889,4.851388888888893,12.122916666666665,19.073611111111106,46.520833333333336,19.302083333333336,18.877083333333335,,,,5.8895833333333325,5.1520833333333345,1181.8125,0.0,0,1,0,0,0,0,0,0
2019-04-11,4.456944444444442,147.0,2.9187499999999997,17.26875000000001,18.1125,50.125,18.331944444444456,17.920138888888886,,,,3.8229166666666643,3.2111111111111104,1182.4166666666667,0.0,1,0,0,0,0,0,0,0
2019-04-12,3.821527777777776,174.0,2.6215277777777777,15.122916666666665,19.827083333333327,47.3125,20.047916666666662,19.632638888888877,,,,3.3381944444444445,2.869444444444444,1166.1944444444443,0.0,0,1,0,0,0,0,0,0
2019-04-13,4.066666666666666,223.14583333333334,2.910416666666668,14.633333333333333,25.1125,31.57638888888889,25.331944444444446,24.91180555555556,,,,3.590972222222222,3.158333333333333,1183.8333333333333,0.0,0,1,0,0,0,0,0,0
