,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,North,East,West,South,South-East
2019-04-01,9.254022988505747,240.98850574712642,5.445977011494254,18.303448275862074,21.840229885057475,37.03448275862069,22.05632183908045,21.61609195402299,,,,7.522988505747127,5.926436781609197,1166.287356321839,0.0,0,0,1,0,0,0,0,0
2019-04-02,5.787368421052631,80.07368421052631,4.288421052631579,12.74842105263158,21.977894736842103,41.8,22.157894736842096,21.786315789473694,,,,5.1273684210526325,4.527368421052633,1546.8947368421052,0.0,0,1,0,0,0,0,0,0
2019-04-03,4.84513888888889,58.71527777777778,3.556250000000001,10.529861111111112,21.37708333333334,43.59722222222222,21.61180555555557,21.147222222222222,,,,4.253472222222222,3.7895833333333337,1182.9583333333333,0.0,1,0,0,0,0,0,0,0
2019-04-04,5.336111111111111,76.61805555555556,3.7555555555555546,10.965277777777782,22.58888888888889,49.263888888888886,22.752777777777784,22.426388888888894,,,,4.649305555555555,4.063194444444444,1181.6666666666667,0.0,0,1,0,0,0,0,0,0
2019-04-05,4.7430555555555545,92.42361111111111,3.3486111111111097,12.764583333333324,22.795833333333352,44.03472222222222,22.99722222222223,22.61597222222223,,,,4.155555555555555,3.5777777777777775,1182.3055555555557,0.0,0,1,0,0,0,0,0,0
2019-04-06,4.793055555555557,65.99305555555556,3.5124999999999993,14.157638888888892,22.715972222222227,49.21527777777778,22.884722222222216,22.55902777777777,,,,4.270138888888889,3.761111111111111,1181.486111111111,0.0,1,0,0,0,0,0,0,0
2019-04-07,3.3916666666666684,128.875,2.3618055555555553,16.188194444444445,25.29097222222222,44.90972222222222,25.58263888888888,25.009722222222223,,,,2.9590277777777785,2.586805555555555,1165.298611111111,0.0,0,1,0,0,0,0,0,0
2019-04-08,4.650000000000001,87.71527777777777,3.129861111111112,17.025694444444433,25.84027777777778,43.36805555555556,26.086805555555564,25.585416666666667,,,,3.993055555555557,3.4055555555555537,1182.1041666666667,0.0,0,1,0,0,0,0,0,0
2019-04-09,6.8805555555555555,115.29166666666667,4.786805555555559,13.046527777777776,24.827083333333334,43.104166666666664,25.064583333333335,24.623611111111106,,,,5.959722222222224,5.149305555555557,1182.4375,0.0,0,1,0,0,0,0,0,0
2019-04-10,7.4125000000000005,149.59027777777777,5.35138888888889,10.881249999999996,23.5451388888889,37.729166666666664,23.738194444444435,23.370833333333323,,,,6.463194444444446,5.641666666666669,1165.0833333333333,0.0,0,1,0,0,0,0,0,0
2019-04-11,6.270833333333329,61.11805555555556,4.595138888888888,12.175694444444437,22.45,41.583333333333336,22.659722222222218,22.25138888888889,,,,5.4819444444444425,4.813888888888886,1183.0902777777778,0.0,1,0,0,0,0,0,0,0
2019-04-12,5.047222222222219,74.25,3.680555555555554,11.256250000000001,23.019444444444435,45.729166666666664,23.25486111111112,22.782638888888894,,,,4.41388888888889,3.8986111111111126,1182.5972222222222,0.0,1,0,0,0,0,0,0,0
2019-04-13,2.8472222222222223,140.95833333333334,1.944444444444444,17.14930555555555,26.304861111111112,38.27777777777778,26.567361111111108,26.02569444444445,,,,2.470833333333333,2.1715277777777775,1182.9305555555557,0.0,0,1,0,0,0,0,0,0
2019-04-14,6.507638888888888,226.02083333333334,3.642361111111112,27.957638888888894,27.855555555555565,29.65277777777778,28.195833333333347,27.528472222222227,,,,5.352777777777779,4.126388888888888,1182.9097222222222,0.0,0,0,1,0,0,0,0,0
2019-04-15,4.540277777777779,96.0,3.1958333333333337,12.696527777777781,22.785416666666666,49.458333333333336,22.934027777777782,22.645833333333336,,,,4.0041666666666655,3.4520833333333325,1181.7152777777778,0.001388888888888889,0,1,0,0,0,0,0,0
2019-04-16,5.815277777777779,112.79861111111111,3.7638888888888897,14.700694444444439,22.9,52.80555555555556,23.084722222222226,22.742361111111116,,,,4.9020833333333345,4.108333333333333,1183.326388888889,0.0,0,1,0,0,0,0,0,0
2019-04-17,6.786111111111115,230.64583333333334,4.006944444444444,25.42222222222222,23.09374999999999,41.076388888888886,23.331944444444446,22.86250000000001,,,,5.635416666666665,4.450694444444444,1181.5277777777778,0.0,0,0,1,0,0,0,0,0
2019-04-18,6.850694444444444,191.29861111111111,4.057638888888889,19.81805555555556,22.509027777777778,36.770833333333336,22.7673611111111,22.286111111111104,,,,5.591666666666669,4.449999999999999,1181.4930555555557,0.0,0,0,1,0,0,0,0,0
2019-04-19,6.920833333333334,208.73611111111111,3.7784722222222222,25.608333333333334,22.22569444444444,38.02777777777778,22.485416666666648,21.963194444444426,,,,5.593750000000001,4.228472222222224,1182.7291666666667,0.0,0,0,1,0,0,0,0,0
2019-04-20,7.414583333333329,203.8125,4.197916666666666,24.784722222222218,22.09652777777778,40.361111111111114,22.351388888888906,21.852777777777778,,,,6.157638888888887,4.643055555555555,1182.5902777777778,0.0,0,0,1,0,0,0,0,0
2019-04-21,9.040972222222221,216.34027777777777,4.497916666666667,31.38749999999998,19.92013888888889,39.5625,20.172916666666666,19.681250000000006,,,,6.993055555555558,5.120833333333332,1182.5069444444443,0.0020833333333333337,0,0,1,0,0,0,0,0
2019-04-22,6.7423611111111095,242.72222222222223,3.4583333333333326,26.01736111111111,20.79513888888889,34.56944444444444,21.09652777777778,20.524999999999995,,,,5.415277777777778,3.9680555555555546,1183.125,0.0,0,0,1,0,0,0,0,0
2019-04-23,5.4805555555555525,112.22916666666667,4.0625,11.831250000000004,21.77152777777779,37.88194444444444,22.00208333333334,21.533333333333342,,,,4.848611111111111,4.27847222222222,1165.7777777777778,0.0,0,1,0,0,0,0,0,0
2019-04-24,9.26805555555556,26.13888888888889,7.151388888888889,6.232638888888889,24.8201388888889,38.673611111111114,25.030555555555566,24.62847222222222,,,,8.188194444444443,7.368055555555555,1183.0625,0.0,1,0,0,0,0,0,0,0
2019-04-25,8.724305555555553,25.52777777777778,6.680555555555555,6.1305555555555555,26.903472222222216,32.611111111111114,27.100694444444446,26.702777777777793,,,,7.689583333333333,6.936805555555555,1181.8819444444443,0.0,1,0,0,0,0,0,0,0
2019-04-26,8.405555555555555,25.15972222222222,6.464583333333335,6.593055555555555,28.231249999999992,31.11111111111111,28.44583333333334,28.02152777777779,,,,7.413194444444446,6.737499999999997,1181.3958333333333,0.0,1,0,0,0,0,0,0,0
2019-04-27,8.311111111111112,83.02777777777777,6.247222222222219,7.663888888888885,29.093749999999993,28.02777777777778,29.33819444444446,28.87916666666667,,,,7.313194444444445,6.544444444444445,1181.7847222222222,0.0,0,1,0,0,0,0,0,0
2019-04-28,4.225,96.59722222222223,2.9493055555555543,14.73333333333334,27.615972222222226,30.020833333333332,27.86458333333332,27.35972222222223,,,,3.6493055555555562,3.240972222222221,1181.263888888889,0.0,0,1,0,0,0,0,0,0
2019-04-29,3.0534722222222213,107.1875,1.9875000000000003,21.637499999999992,27.966666666666672,32.8125,28.328472222222217,27.6388888888889,,,,2.6680555555555547,2.2645833333333325,1182.4583333333333,0.0,0,1,0,0,0,0,0,0
2019-04-30,4.691666666666666,66.91666666666667,3.323611111111111,15.943055555555553,29.254166666666677,31.125,29.52708333333333,28.97430555555557,,,,4.103472222222223,3.5673611111111114,1182.7569444444443,0.0,1,0,0,0,0,0,0,0
2019-05-01,3.9251748251748273,94.20979020979021,2.74195804195804,15.456643356643351,28.95244755244756,32.49650349650349,29.207692307692312,28.696503496503485,,,,3.4237762237762226,2.9601398601398587,1178.3496503496503,0.0,0,1,0,0,0,0,0,0
2019-05-02,3.820833333333335,182.77777777777777,2.273611111111111,25.218750000000004,30.94236111111113,26.895833333333332,31.341666666666658,30.54374999999998,,,,3.313888888888889,2.6888888888888887,1181.8472222222222,0.0,0,0,1,0,0,0,0,0
2019-05-03,7.671527777777775,117.59027777777777,4.546527777777774,18.06597222222223,27.639583333333338,34.38194444444444,27.859722222222224,27.453472222222217,,,,6.27361111111111,5.030555555555554,1181.9652777777778,0.0,0,1,0,0,0,0,0,0
2019-05-04,5.981944444444445,106.14583333333333,4.343055555555555,10.806944444444452,25.00138888888888,41.03472222222222,25.2326388888889,24.776388888888896,,,,5.220833333333332,4.556250000000001,1180.861111111111,0.0,0,1,0,0,0,0,0,0
