,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,East,West,South,North-East
2019-04-01,2.4152777777777774,162.13194444444446,1.3805555555555555,18.10208333333333,9.564583333333326,99.97222222222223,9.653472222222222,9.490277777777766,,,,2.02986111111111,1.6145833333333337,1166.0902777777778,0.11249999999999998,1,0,0,0,0,0,0,0
2019-04-02,2.2902777777777756,193.33333333333334,1.3902777777777775,13.626388888888886,11.145833333333341,92.77777777777777,11.272222222222215,11.020138888888885,,,,1.9451388888888894,1.565972222222222,1166.25,0.05625000000000001,0,0,1,0,0,0,0,0
2019-04-03,2.745833333333334,235.1875,1.6777777777777776,18.176388888888887,13.289583333333333,76.95138888888889,13.515277777777785,13.086111111111107,,,,2.352083333333332,1.9138888888888894,1181.625,0.0,0,0,1,0,0,0,0,0
2019-04-04,3.7861111111111123,220.86805555555554,2.3826388888888896,20.03611111111111,15.727777777777773,60.548611111111114,16.001388888888883,15.460416666666665,,,,3.203472222222222,2.661111111111113,1181.7222222222222,0.0,0,0,1,0,0,0,0,0
2019-04-05,5.734722222222223,227.50694444444446,3.7680555555555557,21.449305555555554,14.321527777777785,82.33333333333333,14.522916666666658,14.120833333333325,,,,4.841666666666665,4.074305555555555,1166.0069444444443,0.0,0,0,1,0,0,0,0,0
2019-04-06,3.4722222222222223,215.16666666666666,2.203472222222223,15.379861111111119,15.487499999999992,70.97916666666667,15.711805555555555,15.27500000000001,,,,2.910416666666667,2.409722222222223,1182.1458333333333,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-04-07,3.136805555555556,196.73611111111111,2.000694444444444,17.735416666666676,19.41041666666666,52.763888888888886,19.676388888888873,19.127083333333317,,,,2.6791666666666663,2.2402777777777776,1182.4583333333333,0.0,0,0,1,0,0,0,0,0
2019-04-08,3.5131944444444456,221.38888888888889,2.1930555555555546,17.27847222222222,18.813888888888894,60.333333333333336,19.04166666666666,18.570833333333333,,,,2.962500000000001,2.4312500000000012,1183.2083333333333,0.0,0,0,1,0,0,0,0,0
2019-04-09,4.77152777777778,226.84027777777777,3.1097222222222225,18.793055555555554,16.795138888888886,72.13888888888889,17.0111111111111,16.582638888888894,,,,4.0861111111111095,3.4131944444444446,1182.4166666666667,0.0,0,0,1,0,0,0,0,0
2019-04-10,6.1277777777777755,275.8611111111111,3.9381944444444454,14.45347222222222,14.12708333333333,79.4375,14.320833333333322,13.927777777777774,,,,5.110416666666665,4.25763888888889,1165.0694444444443,0.0,0,1,0,0,0,0,0,0
2019-04-11,7.676388888888886,254.53472222222223,5.228472222222224,15.690277777777782,14.086111111111112,76.90277777777777,14.259027777777773,13.911805555555551,,,,6.453472222222223,5.553472222222221,1183.4652777777778,0.0,0,0,1,0,0,0,0,0
2019-04-12,6.088888888888888,230.57638888888889,3.650694444444444,24.35833333333333,17.770138888888894,58.833333333333336,18.006944444444432,17.53611111111112,,,,5.047222222222222,4.124305555555555,1182.4930555555557,0.0,0,0,1,0,0,0,0,0
2019-04-13,6.64513888888889,187.78472222222223,3.868055555555554,17.32708333333332,22.689583333333346,31.458333333333332,22.97916666666666,22.40138888888889,,,,5.316666666666666,4.230555555555556,1181.673611111111,0.0,0,0,1,0,0,0,0,0
2019-04-14,6.8125000000000036,202.70138888888889,3.809722222222221,19.524305555555557,19.48472222222222,52.395833333333336,19.714583333333337,19.263194444444455,,,,5.3805555555555555,4.202083333333332,1182.0972222222222,0.0,0,0,1,0,0,0,0,0
2019-04-15,4.21458333333333,231.24305555555554,2.417361111111112,17.945138888888895,14.18958333333333,86.75,14.312500000000004,14.070833333333328,,,,3.4222222222222216,2.7236111111111097,1182.548611111111,0.009027777777777779,0,0,1,0,0,0,0,0
2019-04-16,4.5868055555555545,268.8888888888889,2.686805555555555,19.6138888888889,13.447222222222216,85.49305555555556,13.639583333333329,13.244444444444444,,,,3.764583333333336,3.031250000000001,1183.4166666666667,0.04375,0,1,0,0,0,0,0,0
2019-04-17,5.041666666666666,241.49305555555554,2.7743055555555562,22.72430555555555,13.159027777777773,85.40277777777777,13.389583333333341,12.93958333333333,,,,4.0875,3.1090277777777784,1165.6527777777778,0.056944444444444436,0,0,1,0,0,0,0,0
2019-04-18,4.751388888888887,221.76388888888889,2.949305555555556,20.725694444444454,12.960416666666664,81.25,13.176388888888887,12.740277777777774,,,,3.977083333333333,3.240972222222223,1166.3194444444443,0.0,0,0,1,0,0,0,0,0
2019-04-19,4.5645833333333306,225.43055555555554,2.377777777777778,21.945833333333333,11.693055555555553,83.40277777777777,11.94583333333334,11.443749999999994,,,,3.521527777777778,2.711805555555555,1182.3402777777778,0.009722222222222222,0,0,1,0,0,0,0,0
2019-04-20,5.315972222222223,222.9375,2.9944444444444454,20.4513888888889,12.500694444444443,83.06944444444444,12.747916666666667,12.260416666666664,,,,4.279166666666669,3.3208333333333346,1181.8194444444443,0.030555555555555558,0,0,1,0,0,0,0,0
2019-04-21,5.900694444444444,241.125,3.3256944444444447,23.522222222222226,8.908333333333328,86.51388888888889,9.1625,8.680555555555557,,,,4.6958333333333355,3.7256944444444438,1180.8125,0.13472222222222222,0,0,1,0,0,0,0,0
2019-04-22,6.190277777777778,262.93055555555554,3.1124999999999994,24.356944444444437,11.377083333333331,81.52777777777777,11.693055555555565,11.08611111111111,,,,4.702083333333333,3.490972222222222,1164.8680555555557,0.011111111111111112,0,0,1,0,0,0,0,0
2019-04-23,6.343055555555554,248.11805555555554,4.029861111111112,19.493055555555554,13.411805555555555,75.52083333333333,13.624305555555557,13.204861111111107,,,,5.239583333333337,4.354166666666668,1182.298611111111,0.0,0,0,1,0,0,0,0,0
2019-04-24,7.3868055555555525,266.0138888888889,4.825694444444447,17.52361111111112,18.029166666666665,46.895833333333336,18.24166666666666,17.8298611111111,,,,6.109027777777778,5.122222222222223,1165.2291666666667,0.0,0,0,1,0,0,0,0,0
2019-04-25,7.234027777777778,264.5833333333333,4.834027777777777,16.209722222222226,20.77986111111112,37.701388888888886,20.99097222222223,20.571527777777767,,,,5.988888888888888,5.168750000000001,1181.1319444444443,0.0,0,0,1,0,0,0,0,0
2019-04-26,5.562500000000001,240.53472222222223,3.7340277777777775,18.206249999999997,21.259722222222212,36.65972222222222,21.50347222222223,21.00555555555556,,,,4.681944444444443,4.015972222222223,1182.25,0.0,0,0,1,0,0,0,0,0
2019-04-27,3.318749999999999,193.41666666666666,1.9958333333333327,24.698611111111113,20.961805555555564,38.90972222222222,21.255555555555556,20.67083333333332,,,,2.8000000000000003,2.290277777777778,1165.0208333333333,0.0,0,0,1,0,0,0,0,0
2019-04-28,7.209027777777775,285.43055555555554,4.842361111111113,15.90972222222222,21.762499999999996,37.375,21.96736111111112,21.562500000000014,,,,6.066666666666666,5.176388888888888,1165.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-04-29,2.731944444444443,171.34027777777777,1.6291666666666667,21.750000000000007,23.15069444444445,40.263888888888886,23.41944444444446,22.885416666666664,,,,2.3291666666666653,1.8756944444444439,1183.3472222222222,0.0,1,0,0,0,0,0,0,0
2019-04-30,4.790277777777774,209.90972222222223,2.986805555555556,23.88541666666667,22.359722222222224,48.52777777777778,22.71875000000001,22.049305555555538,,,,4.002083333333333,3.345833333333333,1183.2430555555557,0.0,0,0,1,0,0,0,0,0
2019-05-01,2.8587412587412593,210.8111888111888,1.7027972027972025,19.30629370629371,22.946153846153855,43.31468531468531,23.213286713286703,22.690909090909088,,,,2.4048951048951044,1.9489510489510484,1180.986013986014,0.0,0,0,1,0,0,0,0,0
2019-05-02,4.372222222222224,227.60416666666666,2.646527777777777,22.62361111111111,23.550000000000004,41.673611111111114,23.89652777777779,23.22222222222222,,,,3.7208333333333345,3.0659722222222214,1181.8541666666667,0.0,0,0,1,0,0,0,0,0
2019-05-03,9.051388888888889,280.5833333333333,5.66041666666667,21.190972222222236,18.490277777777777,57.736111111111114,18.706250000000004,18.28402777777778,,,,7.369444444444446,6.121527777777777,1165.4375,0.0,0,1,0,0,0,0,0,0
2019-05-04,7.376388888888889,229.81944444444446,4.293749999999999,26.49236111111112,16.927777777777784,78.77777777777777,17.14305555555555,16.708333333333332,,,,5.906944444444446,4.687499999999997,1182.9930555555557,0.0,0,0,1,0,0,0,0,0
2019-05-05,3.438194444444444,198.20138888888889,2.0416666666666674,21.19027777777778,23.05902777777778,42.93055555555556,23.34722222222222,22.782638888888883,,,,2.8770833333333345,2.282638888888888,1181.5416666666667,0.0,0,0,1,0,0,0,0,0
2019-05-06,5.708333333333334,199.27083333333334,3.5333333333333314,19.41041666666667,25.83611111111112,26.82638888888889,26.156250000000007,25.48888888888889,,,,4.770833333333333,3.940972222222223,1165.3055555555557,0.0,0,0,1,0,0,0,0,0
2019-05-07,7.625694444444445,300.7291666666667,4.58958333333333,20.571527777777785,17.262500000000003,73.25694444444444,17.493750000000002,17.04305555555557,,,,6.190972222222224,5.006944444444441,1182.5625,0.0,0,1,0,0,0,0,0,0
2019-05-08,8.404861111111112,312.4861111111111,5.470833333333335,15.012500000000005,16.07638888888888,72.50694444444444,16.265277777777797,15.88124999999999,,,,6.984722222222225,5.8125,1181.1041666666667,0.0,0,1,0,0,0,0,0,0
2019-05-09,8.32589928057554,288.0,5.508633093525183,15.612949640287763,15.561870503597111,70.58992805755396,15.763309352517979,15.357553956834531,,,,6.909352517985615,5.866187050359712,1140.5179856115108,0.0,0,1,0,0,0,0,0,0
2019-05-10,6.552777777777777,261.02777777777777,4.231249999999999,18.42430555555556,15.43819444444445,69.72916666666667,15.685416666666661,15.189583333333328,,,,5.490277777777778,4.551388888888891,1181.4652777777778,0.0,0,0,1,0,0,0,0,0
2019-05-11,5.113888888888889,233.02083333333334,3.197916666666666,20.686805555555548,19.04513888888889,56.708333333333336,19.31805555555557,18.758333333333326,,,,4.20763888888889,3.4736111111111114,1182.5208333333333,0.0,0,0,1,0,0,0,0,0
2019-05-12,9.448611111111106,277.7013888888889,6.562499999999998,13.347222222222221,24.926388888888912,28.17361111111111,25.122222222222213,24.736805555555556,,,,7.865972222222224,6.8791666666666655,1183.4722222222222,0.0,0,1,0,0,0,0,0,0
2019-05-13,10.52708333333333,309.2083333333333,7.331249999999999,12.252083333333328,26.67222222222223,20.0,26.847916666666674,26.472222222222225,,,,8.802083333333332,7.693750000000002,1182.5625,0.0,0,1,0,0,0,0,0,0
2019-05-14,6.12986111111111,220.125,3.856944444444445,20.959722222222215,28.373943661971843,24.922535211267604,28.66549295774648,28.071126760563384,,,,4.95972222222222,4.158333333333332,1187.6142857142856,0.0,0,0,1,0,0,0,0,0
2019-05-15,9.506944444444448,263.97222222222223,5.9375,27.86527777777778,31.009027777777778,22.229166666666668,31.367361111111116,30.669444444444462,,,,7.839583333333333,6.54236111111111,1182.0972222222222,0.0,0,0,1,0,0,0,0,0
2019-05-16,7.165277777777776,224.32638888888889,4.797222222222221,28.107638888888896,27.506944444444457,35.27777777777778,27.82291666666667,27.21944444444445,,,,6.056249999999999,5.102083333333333,1183.048611111111,0.0,0,0,1,0,0,0,0,0
2019-05-17,6.236111111111111,193.57638888888889,3.9687500000000018,21.22916666666667,26.348611111111097,37.388888888888886,26.687499999999993,26.03958333333334,,,,5.192361111111111,4.330555555555557,1181.9305555555557,0.0,0,0,1,0,0,0,0,0
2019-05-18,7.5000000000000036,262.78472222222223,4.934722222222221,15.978472222222216,21.038888888888895,49.798611111111114,21.267361111111107,20.81458333333333,,,,6.236111111111114,5.318749999999997,1165.4930555555557,0.0,0,0,1,0,0,0,0,0
2019-05-19,10.521527777777782,243.5,7.401388888888892,16.988888888888894,20.410416666666666,55.020833333333336,20.683333333333337,20.16736111111111,,,,8.897916666666664,7.777777777777778,1166.701388888889,0.0,0,0,1,0,0,0,0,0
2019-05-20,9.08472222222222,232.06944444444446,6.381944444444443,18.614583333333336,23.314583333333335,53.75,23.613888888888873,22.97152777777778,,,,7.61111111111111,6.645138888888889,1166.3055555555557,0.0,0,0,1,0,0,0,0,0
2019-05-21,6.902083333333334,241.8125,4.743749999999999,20.275,27.045138888888893,31.229166666666668,27.322916666666675,26.76597222222222,,,,5.787500000000001,5.079861111111111,1183.2708333333333,0.0,0,0,1,0,0,0,0,0
2019-05-22,5.826388888888888,237.49305555555554,3.873611111111112,17.722222222222214,29.521527777777763,20.9375,29.79305555555557,29.23958333333333,,,,4.8625,4.172222222222221,1182.375,0.0,0,0,1,0,0,0,0,0
2019-05-23,3.5937500000000018,197.32638888888889,2.2888888888888888,18.115972222222226,32.12361111111112,16.71527777777778,32.43402777777778,31.81597222222221,,,,3.0555555555555554,2.5305555555555554,1166.423611111111,0.0,0,0,1,0,0,0,0,0
2019-05-24,3.652083333333332,206.27083333333334,2.1465277777777785,22.75416666666667,32.09097222222222,18.368055555555557,32.40763888888889,31.783333333333342,,,,3.079166666666666,2.4319444444444436,1182.1944444444443,0.0,0,0,1,0,0,0,0,0
2019-05-25,6.222222222222223,228.77083333333334,3.9923611111111095,24.954166666666666,23.313194444444445,56.75694444444444,23.596527777777776,23.036111111111126,,,,5.181944444444444,4.325000000000001,1165.4166666666667,0.0,0,0,1,0,0,0,0,0
