,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-02-15,5.981944444444447,204.25694444444446,3.197222222222223,19.811111111111117,10.887499999999998,54.958333333333336,11.01388888888889,10.759722222222218,,,,4.5381944444444455,3.4875000000000007,1181.9791666666667,0.0,0,0,1,0,0,0,0,0
2019-02-16,5.072916666666667,210.8125,2.7791666666666672,18.017361111111104,10.002777777777785,79.125,10.145138888888884,9.878472222222218,,,,3.940972222222223,3.0645833333333337,1165.4305555555557,0.02361111111111111,0,0,1,0,0,0,0,0
2019-02-17,3.5124999999999997,173.09027777777777,2.0694444444444446,13.297222222222224,8.77083333333333,75.26388888888889,8.98541666666667,8.569444444444443,,,,2.8506944444444424,2.3034722222222213,1166.5208333333333,0.0,1,0,0,0,0,0,0,0
2019-02-18,2.757342657342657,161.6013986013986,1.5447552447552446,18.20349650349649,7.519580419580418,87.32867132867133,7.63986013986014,7.395104895104893,,,,2.259440559440559,1.7909090909090926,1182.7482517482517,0.05034965034965036,1,0,0,0,0,0,0,0
2019-02-19,2.426388888888889,167.65277777777777,1.388194444444444,16.801388888888894,8.23125,89.5625,8.372222222222224,8.092361111111112,,,,2.009722222222222,1.6180555555555551,1182.1458333333333,0.010416666666666668,1,0,0,0,0,0,0,0
2019-02-20,2.0548611111111104,198.375,1.0916666666666672,18.147222222222222,10.099305555555555,84.00694444444444,10.250694444444449,9.952777777777776,,,,1.6694444444444443,1.2673611111111118,1166.7708333333333,0.0,0,0,1,0,0,0,0,0
2019-02-21,2.85625,181.45833333333334,1.5180555555555557,18.22291666666666,9.48263888888889,80.47916666666667,9.663194444444443,9.299999999999992,,,,2.265277777777778,1.7291666666666665,1181.75,0.0,0,0,1,0,0,0,0,0
2019-02-22,2.931944444444444,171.875,1.6298611111111112,18.027777777777775,9.053472222222227,82.15972222222223,9.240277777777779,8.859027777777778,,,,2.364583333333333,1.8618055555555557,1167.0833333333333,0.0,1,0,0,0,0,0,0,0
2019-02-23,2.4340277777777777,160.75694444444446,1.311805555555556,19.383333333333333,9.557638888888885,81.85416666666667,9.774305555555554,9.350694444444446,,,,1.9729166666666669,1.521527777777778,1182.5,0.011805555555555555,1,0,0,0,0,0,0,0
2019-02-24,2.4409722222222197,174.25,1.327777777777778,18.80138888888889,10.34166666666667,76.81944444444444,10.519444444444442,10.17152777777778,,,,1.9756944444444453,1.500694444444444,1165.5347222222222,0.0,1,0,0,0,0,0,0,0
