,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,West,North,North-East,East,South-East,South
2019-04-01,5.220833333333333,209.72916666666666,3.108333333333333,12.763194444444444,12.018750000000004,91.70138888888889,12.150694444444438,11.880555555555555,,,,4.033333333333332,3.2999999999999994,1182.7916666666667,,0,1,0,0,0,0,0,0
2019-04-02,4.11875,206.4375,2.55625,16.266666666666666,13.44722222222222,82.45833333333333,13.625000000000004,13.284722222222229,,,,3.297916666666666,2.7270833333333324,1165.9652777777778,,0,1,0,0,0,0,0,0
2019-04-03,3.2145833333333322,198.05555555555554,1.975694444444444,21.02638888888888,13.444444444444441,78.55555555555556,13.604861111111104,13.28472222222222,,,,2.6548611111111113,2.186111111111112,1181.5625,,0,1,0,0,0,0,0,0
2019-04-04,2.9319444444444454,204.49305555555554,1.7777777777777786,18.774305555555564,14.027857142857137,83.86428571428571,14.20142857142857,13.859999999999994,,,,2.4152777777777783,1.9881944444444457,1181.388888888889,0.0,0,1,0,0,0,0,0,0
2019-04-05,2.979861111111111,206.32638888888889,1.7465277777777775,18.358333333333334,13.971527777777773,83.125,14.24097222222222,13.738194444444447,,,,2.3874999999999993,1.9423611111111103,1166.1944444444443,0.0,0,1,0,0,0,0,0,0
2019-04-06,2.5249999999999995,178.1875,1.5770833333333332,22.479166666666657,15.676388888888889,76.72916666666667,15.88124999999999,15.481944444444439,,,,2.1576388888888904,1.7736111111111112,1181.6458333333333,0.0,0,1,0,0,0,0,0,0
2019-04-07,4.285416666666666,190.02083333333334,2.7618055555555547,14.301388888888887,19.24722222222222,64.08333333333333,19.45069444444444,19.043750000000003,,,,3.4819444444444443,2.9541666666666653,1182.2083333333333,0.0,0,1,0,0,0,0,0,0
2019-04-08,3.306944444444445,204.22916666666666,2.064583333333333,19.212500000000002,17.59374999999999,73.28472222222223,17.806944444444444,17.387500000000017,,,,2.7562499999999996,2.281249999999998,1183.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-04-09,3.9534722222222225,213.38888888888889,2.342361111111112,18.538194444444454,17.496527777777775,71.26388888888889,17.659722222222232,17.328472222222228,,,,3.1333333333333333,2.5361111111111123,1181.3680555555557,0.0,0,1,0,0,0,0,0,0
2019-04-10,3.6340277777777783,212.59027777777777,2.2750000000000004,17.006944444444432,14.27708333333333,79.43055555555556,14.548611111111121,14.016666666666666,,,,2.9937500000000012,2.442361111111111,1181.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-04-11,4.052083333333333,185.27777777777777,2.5625000000000004,15.431944444444447,13.883333333333336,76.10416666666667,14.052777777777768,13.70763888888888,,,,3.2659722222222225,2.747222222222224,1182.513888888889,0.0,0,1,0,0,0,0,0,0
