,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,South,West,North-East,East
2019-04-01,5.723611111111112,207.73611111111111,3.5451388888888884,13.44166666666667,14.113194444444447,88.63888888888889,14.256249999999998,13.979861111111115,,,,4.525694444444447,3.7923611111111097,1181.8333333333333,0.15208333333333335,0,0,1,0,0,0,0,0
2019-04-02,3.1250000000000004,192.64583333333334,1.6777777777777771,16.895833333333325,14.686111111111119,84.08333333333333,14.89652777777778,14.470138888888888,,,,2.328472222222223,1.8673611111111112,1164.673611111111,0.0,0,0,1,0,0,0,0,0
2019-04-03,3.1881944444444463,140.92361111111111,1.772222222222222,16.004166666666652,14.493055555555555,81.3125,14.70833333333334,14.277083333333334,,,,2.4479166666666683,1.9541666666666673,1181.5208333333333,0.0,1,0,0,0,0,0,0,0
2019-04-04,3.150694444444446,213.24305555555554,1.604166666666666,19.24930555555555,15.02083333333334,92.11805555555556,15.224305555555556,14.80069444444445,,,,2.3270833333333334,1.7791666666666655,1166.375,0.0,0,0,1,0,0,0,0,0
2019-04-05,2.8104166666666655,187.43055555555554,1.3763888888888887,18.895833333333332,15.356250000000008,88.79861111111111,15.626388888888885,15.084722222222227,,,,2.0506944444444435,1.5354166666666662,1181.701388888889,0.0,0,0,1,0,0,0,0,0
2019-04-06,2.2743055555555567,115.57638888888889,1.2347222222222225,20.622222222222213,16.59097222222222,85.5,16.78402777777778,16.387500000000003,,,,1.8486111111111119,1.420833333333334,1183.0208333333333,0.0,1,0,0,0,0,0,0,0
2019-04-07,3.2999999999999985,154.97916666666666,1.904861111111112,15.451388888888898,20.536111111111108,68.65277777777777,20.77638888888889,20.293055555555558,,,,2.572222222222224,2.0909722222222236,1182.6597222222222,0.0,1,0,0,0,0,0,0,0
2019-04-08,2.5722222222222224,205.11111111111111,1.3534722222222222,19.908333333333335,17.56180555555555,90.73611111111111,17.812500000000004,17.309722222222224,,,,1.9499999999999988,1.5027777777777782,1165.7222222222222,0.0,0,0,1,0,0,0,0,0
2019-04-09,4.037499999999998,207.70138888888889,2.1631944444444455,19.555555555555554,18.308333333333334,83.13888888888889,18.520138888888894,18.107638888888882,,,,3.0097222222222233,2.372916666666667,1167.423611111111,0.0,0,0,1,0,0,0,0,0
2019-04-10,3.0826388888888903,182.58333333333334,1.575,18.58055555555556,15.802777777777774,84.1875,16.08749999999999,15.533333333333339,,,,2.2881944444444438,1.7409722222222224,1165.923611111111,0.0,0,0,1,0,0,0,0,0
2019-04-11,3.8548611111111097,142.55555555555554,2.034027777777778,16.457638888888894,15.40416666666666,81.22222222222223,15.660416666666663,15.15972222222222,,,,2.815972222222222,2.2034722222222225,1182.5625,0.0,1,0,0,0,0,0,0,0
2019-04-12,4.2944444444444425,169.09722222222223,2.3291666666666675,15.561111111111119,16.253472222222225,86.47222222222223,16.477083333333336,16.043749999999996,,,,3.239583333333335,2.5124999999999993,1165.9097222222222,0.0,1,0,0,0,0,0,0,0
2019-04-13,2.866666666666668,172.77083333333334,1.5715277777777787,19.293749999999992,18.813194444444445,84.01388888888889,19.078472222222224,18.544444444444444,,,,2.218750000000001,1.747916666666667,1181.4444444444443,0.0,1,0,0,0,0,0,0,0
2019-04-14,5.576388888888885,209.01388888888889,3.3,16.861111111111107,20.034722222222232,68.23611111111111,20.251388888888886,19.822222222222234,,,,4.261111111111111,3.5208333333333317,1166.2847222222222,0.0,0,0,1,0,0,0,0,0
2019-04-15,2.5888888888888872,160.875,1.3326388888888894,21.327083333333334,16.261111111111113,91.38888888888889,16.44027777777778,16.078472222222228,,,,1.9687500000000004,1.5208333333333337,1181.8958333333333,0.0041666666666666675,1,0,0,0,0,0,0,0
2019-04-16,2.889583333333333,186.34027777777777,1.5291666666666666,20.159722222222204,16.869444444444447,87.36805555555556,17.11527777777778,16.625,,,,2.243055555555555,1.6805555555555545,1164.548611111111,0.00625,0,0,1,0,0,0,0,0
2019-04-17,4.320833333333332,231.80555555555554,2.433333333333334,16.9125,16.795833333333334,84.50694444444444,17.036805555555556,16.55902777777779,,,,3.2472222222222222,2.6298611111111123,1182.8333333333333,0.0,0,0,1,0,0,0,0,0
2019-04-18,3.9472222222222246,210.45138888888889,2.1298611111111097,18.772222222222226,16.256249999999998,78.86805555555556,16.49791666666666,15.99583333333333,,,,2.9750000000000005,2.31388888888889,1181.5625,0.0,0,0,1,0,0,0,0,0
2019-04-19,6.039583333333335,228.68055555555554,3.4298611111111117,15.357638888888893,16.34027777777778,75.24305555555556,16.547916666666666,16.14513888888888,,,,4.477777777777778,3.648611111111111,1182.6805555555557,0.0020833333333333337,0,0,1,0,0,0,0,0
