,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,West,East,South
2019-04-01,7.689583333333331,253.42361111111111,5.724305555555556,7.175694444444444,10.659027777777782,76.21527777777777,10.800694444444444,10.528472222222216,,,,6.6874999999999964,5.972916666666667,1183.6458333333333,0.0006944444444444445,0,0,0,1,0,0,0,0
2019-04-02,5.6409722222222225,234.47222222222223,4.001388888888889,10.399305555555557,12.468749999999998,65.59027777777777,12.685416666666665,12.275694444444447,,,,4.902083333333334,4.278472222222223,1181.701388888889,0.0,0,0,0,1,0,0,0,0
2019-04-03,3.8208333333333346,132.41666666666666,2.4979166666666663,14.052777777777779,14.77083333333334,53.02777777777778,14.961805555555552,14.584722222222227,,,,3.2861111111111097,2.75,1182.7083333333333,0.0,0,1,0,0,0,0,0,0
2019-04-04,5.085416666666667,202.09027777777777,3.381944444444444,16.60625,16.218750000000004,59.916666666666664,16.41458333333334,16.027777777777786,,,,4.4097222222222205,3.7409722222222235,1165.048611111111,0.0,0,0,0,1,0,0,0,0
2019-04-05,5.0861111111111095,278.5,3.479166666666665,12.331249999999997,13.641666666666666,76.63194444444444,13.838194444444447,13.479861111111111,,,,4.405555555555555,3.7763888888888886,1164.2569444444443,0.0,0,0,1,0,0,0,0,0
2019-04-06,3.478472222222222,135.30555555555554,2.2499999999999996,17.661111111111108,16.572222222222212,56.458333333333336,16.729861111111106,16.41250000000001,,,,3.0875000000000004,2.5590277777777772,1166.236111111111,0.0,0,1,0,0,0,0,0,0
2019-04-07,5.8604166666666675,225.96527777777777,4.100000000000002,13.693750000000001,20.520833333333336,40.05555555555556,20.752083333333335,20.288194444444436,,,,5.143055555555556,4.434027777777778,1165.5972222222222,0.0,0,0,0,1,0,0,0,0
2019-04-08,5.738888888888888,232.77083333333334,4.123611111111111,10.590972222222224,19.417361111111116,44.479166666666664,19.634722222222216,19.210416666666664,,,,5.034722222222219,4.388194444444443,1166.4930555555557,0.0,0,0,0,1,0,0,0,0
2019-04-09,6.92291666666667,220.75694444444446,5.025000000000001,8.894444444444442,18.31458333333334,52.333333333333336,18.588888888888896,18.072222222222226,,,,6.060416666666669,5.311805555555557,1167.25,0.0,0,0,0,1,0,0,0,0
2019-04-10,5.396527777777782,288.81944444444446,3.65486111111111,13.1375,14.187499999999998,66.15972222222223,14.39583333333333,14.00902777777778,,,,4.664583333333335,3.9881944444444457,1182.9375,0.0,0,0,1,0,0,0,0,0
2019-04-11,3.667361111111111,164.22222222222223,2.4291666666666654,16.268055555555563,14.628472222222221,52.076388888888886,14.849999999999994,14.430555555555555,,,,3.1770833333333326,2.707638888888888,1181.4930555555557,0.0,0,1,0,0,0,0,0,0
2019-04-12,3.754166666666665,154.00694444444446,2.265972222222221,20.86041666666668,16.02916666666666,54.18055555555556,16.226388888888884,15.847916666666663,,,,3.1284722222222237,2.561111111111111,1181.9305555555557,0.0,0,1,0,0,0,0,0,0
2019-04-13,5.368055555555558,137.17361111111111,3.7493055555555563,10.299305555555552,21.50138888888889,39.020833333333336,21.724305555555567,21.26180555555556,,,,4.64513888888889,4.037499999999999,1182.3055555555557,0.0,0,1,0,0,0,0,0,0
2019-04-14,9.916666666666664,257.625,7.408333333333336,7.748611111111109,19.75763888888889,43.74305555555556,19.961805555555568,19.57083333333334,,,,8.627777777777773,7.694444444444445,1165.861111111111,0.0,0,0,0,1,0,0,0,0
2019-04-15,3.9347222222222222,197.74305555555554,2.78263888888889,12.615972222222224,14.822916666666666,73.71527777777777,14.98263888888889,14.676388888888889,,,,3.4819444444444443,3.0708333333333337,1182.0069444444443,0.019444444444444445,0,0,0,1,0,0,0,0
2019-04-16,6.114583333333334,256.5763888888889,4.460416666666667,8.936805555555553,15.51597222222223,71.56944444444444,15.691666666666666,15.370138888888896,,,,5.402083333333332,4.761805555555554,1166.2430555555557,0.001388888888888889,0,0,0,1,0,0,0,0
2019-04-17,7.233333333333331,284.2083333333333,5.386805555555557,8.308333333333332,12.985416666666671,77.59027777777777,13.179166666666669,12.784722222222221,,,,6.369444444444444,5.661111111111112,1181.0208333333333,0.0,0,0,1,0,0,0,0,0
2019-04-18,7.061805555555558,272.3333333333333,5.080555555555554,9.381944444444441,12.977083333333336,67.40972222222223,13.173611111111105,12.764583333333327,,,,6.125694444444445,5.338194444444444,1182.5555555555557,0.0,0,0,1,0,0,0,0,0
2019-04-19,8.918749999999998,271.96527777777777,6.568055555555555,7.368055555555557,12.298611111111107,69.65277777777777,12.503472222222221,12.113888888888887,,,,7.780555555555555,6.863194444444444,1181.5416666666667,0.0,0,0,1,0,0,0,0,0
2019-04-20,8.036111111111106,267.63194444444446,5.862500000000001,8.584027777777779,12.349305555555553,74.18055555555556,12.554166666666664,12.161111111111106,,,,6.972222222222222,6.094444444444443,1166.2152777777778,0.0,0,0,0,1,0,0,0,0
2019-04-21,12.799305555555554,272.4236111111111,9.531250000000004,7.099305555555554,9.936805555555557,76.16666666666667,10.140972222222224,9.743750000000006,,,,11.084027777777782,9.908333333333339,1182.6319444444443,0.015972222222222224,0,0,1,0,0,0,0,0
2019-04-22,7.310416666666667,264.4166666666667,5.2375,9.842361111111106,10.81875,66.03472222222223,11.022222222222217,10.624305555555553,,,,6.335416666666668,5.52986111111111,1182.0069444444443,0.0,0,0,0,1,0,0,0,0
2019-04-23,3.6493055555555554,107.20138888888889,2.2645833333333334,19.613194444444442,13.768055555555556,49.958333333333336,13.963194444444442,13.590972222222225,,,,3.0937500000000013,2.502083333333333,1182.2152777777778,0.0,0,1,0,0,0,0,0,0
2019-04-24,6.496527777777775,45.083333333333336,4.6000000000000005,11.39513888888889,18.265277777777776,36.548611111111114,18.436805555555548,18.08125,,,,5.536805555555553,4.846527777777778,1183.1875,0.0,1,0,0,0,0,0,0,0
2019-04-25,6.5145833333333325,43.99305555555556,4.675694444444444,9.386805555555554,21.277083333333334,26.069444444444443,21.434722222222234,21.124305555555562,,,,5.600694444444443,4.901388888888889,1181.986111111111,0.0,1,0,0,0,0,0,0,0
2019-04-26,7.046527777777774,49.56944444444444,4.943055555555554,11.510416666666668,22.050694444444453,24.01388888888889,22.243055555555557,21.868749999999995,,,,6.064583333333333,5.217361111111109,1180.9652777777778,0.0,1,0,0,0,0,0,0,0
