,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,West,North,East,South
2019-08-01,3.933566433566433,275.34265734265733,2.2888111888111884,20.635664335664334,28.135664335664345,72.4895104895105,28.354545454545445,27.909790209790213,,,,3.122377622377622,2.4748251748251753,1175.6363636363637,0.0,0,0,1,0,0,0,0,0
2019-08-02,4.482638888888888,262.68055555555554,2.6701388888888893,18.411805555555553,28.31388888888889,71.83333333333333,28.55902777777779,28.08263888888889,,,,3.6090277777777775,2.8652777777777776,1182.2083333333333,0.0,0,0,0,1,0,0,0,0
2019-08-03,3.45972222222222,218.75694444444446,2.044444444444445,19.763194444444437,27.202777777777776,76.24305555555556,27.477777777777778,26.921527777777776,,,,2.7965277777777775,2.226388888888889,1181.6319444444443,0.0,0,0,0,1,0,0,0,0
2019-08-04,3.9791666666666674,203.38194444444446,2.3798611111111105,18.5486111111111,27.374999999999993,79.34027777777777,27.587500000000027,27.137500000000017,,,,3.2041666666666675,2.554861111111111,1165.923611111111,0.0,0,0,0,1,0,0,0,0
2019-08-05,3.8798611111111074,212.25694444444446,2.370833333333333,17.586111111111116,27.617361111111116,79.84722222222223,27.800694444444456,27.435416666666672,,,,3.136805555555556,2.519444444444445,1181.048611111111,0.0,0,0,0,1,0,0,0,0
2019-08-06,3.6812499999999995,201.54861111111111,2.217361111111112,18.248611111111114,26.80416666666668,74.25694444444444,27.05624999999999,26.562500000000004,,,,2.997916666666666,2.3993055555555562,1181.5625,0.0,0,0,0,1,0,0,0,0
2019-08-07,3.7049645390070913,214.87234042553192,2.228368794326241,18.885815602836878,27.012056737588654,69.29787234042553,27.232624113475183,26.790070921985826,,,,2.97659574468085,2.36950354609929,1171.4184397163122,0.0,0,0,0,1,0,0,0,0
2019-08-08,3.5263888888888886,234.4375,2.090972222222223,19.331250000000004,26.825000000000006,77.13194444444444,27.05972222222222,26.60416666666665,,,,2.7972222222222225,2.2500000000000004,1182.736111111111,0.0,0,0,0,1,0,0,0,0
2019-08-09,4.397222222222222,242.23611111111111,2.574305555555556,20.011805555555544,27.96319444444445,74.16666666666667,28.24722222222223,27.670833333333334,,,,3.5152777777777775,2.767361111111111,1166.0347222222222,0.0,0,0,0,1,0,0,0,0
2019-08-10,4.729861111111111,264.46527777777777,2.8034722222222235,16.150000000000006,28.254861111111108,70.77083333333333,28.546527777777776,27.963888888888896,,,,3.7756944444444462,3.0159722222222234,1166.701388888889,0.0,0,0,0,1,0,0,0,0
2019-08-11,3.966666666666667,246.45138888888889,2.3125,21.56527777777778,27.631944444444443,75.88194444444444,27.888888888888886,27.36805555555555,,,,3.2125,2.492361111111113,1182.0694444444443,0.0,0,0,0,1,0,0,0,0
