,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North-West,North,South,West,South-West,North-East,East,South-East
2019-04-01,,,,,11.995138888888887,73.79166666666667,12.128472222222221,11.871527777777782,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-02,,,,,13.1,66.99305555555556,13.291666666666673,12.915972222222216,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-03,,,,,14.98472222222222,55.13194444444444,15.174999999999999,14.788194444444441,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-04,,,,,15.790277777777781,67.42361111111111,15.979861111111104,15.602083333333338,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-05,,,,,13.993055555555555,82.40972222222223,14.189583333333335,13.806944444444449,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-06,,,,,17.55069444444445,52.80555555555556,17.73055555555556,17.3763888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-07,,,,,21.68055555555555,40.979166666666664,21.88263888888889,21.469444444444434,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-08,,,,,19.869444444444444,48.47222222222222,20.08888888888889,19.65902777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-09,,,,,18.647222222222222,57.479166666666664,18.837499999999995,18.45555555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-10,,,,,14.772222222222211,71.0625,14.968749999999996,14.57083333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-11,,,,,14.900000000000002,59.43055555555556,15.109722222222217,14.681944444444436,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-12,,,,,16.5611111111111,62.19444444444444,16.778472222222213,16.33888888888888,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-13,,,,,22.531250000000004,41.298611111111114,22.75486111111111,22.313194444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-14,,,,,19.74513888888889,49.875,19.95833333333334,19.550000000000008,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-15,,,,,15.338888888888878,75.90972222222223,15.485416666666659,15.190972222222213,,,,,,,0.015277777777777782,1,0,0,0,0,0,0,0,0
2019-04-16,,,,,15.523611111111109,73.97916666666667,15.672916666666676,15.37777777777777,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-04-17,,,,,14.05625,76.21527777777777,14.229166666666666,13.895138888888887,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-18,,,,,13.549999999999997,72.30555555555556,13.767361111111116,13.372916666666665,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-19,,,,,13.20416666666666,70.70833333333333,13.423611111111109,13.015277777777776,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-20,,,,,13.086111111111117,72.80555555555556,13.295833333333336,12.888888888888891,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-21,,,,,10.838194444444447,73.41666666666667,11.035416666666665,10.668055555555547,,,,,,,0.04097222222222222,1,0,0,0,0,0,0,0,0
2019-04-22,,,,,11.677777777777779,67.47916666666667,11.890972222222224,11.468749999999996,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-23,,,,,13.869444444444438,60.74305555555556,14.09236111111111,13.63472222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-24,,,,,18.30902777777777,43.229166666666664,18.54444444444445,18.073611111111116,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-25,,,,,21.447222222222226,35.00694444444444,21.685416666666654,21.22152777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-26,,,,,22.423611111111107,31.333333333333332,22.654861111111128,22.187500000000007,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-27,,,,,21.709027777777784,37.333333333333336,21.96458333333334,21.465277777777775,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-28,,,,,21.537499999999998,40.19444444444444,21.78055555555555,21.304166666666664,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-29,,,,,25.399305555555564,23.26388888888889,25.630555555555546,25.160416666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-30,,,,,23.500000000000007,32.05555555555556,23.722916666666663,23.279861111111106,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-01,,,,,28.160839160839163,19.51048951048951,28.409090909090917,27.906293706293706,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-02,,,,,25.801388888888894,30.166666666666668,26.02708333333334,25.588888888888892,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-03,,,,,18.85833333333335,61.020833333333336,19.066666666666666,18.658333333333342,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-04,,,,,17.831944444444453,63.479166666666664,18.07847222222223,17.581944444444442,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-05,,,,,24.10069444444445,37.90972222222222,24.375694444444452,23.827083333333338,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-06,,,,,26.6076923076923,33.45454545454545,26.86853146853148,26.38391608391608,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-07,,,,,17.757638888888884,69.45138888888889,17.929861111111105,17.586111111111094,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-08,,,,,16.375000000000004,66.04166666666667,16.595833333333335,16.170138888888893,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-09,,,,,15.218115942028975,65.91304347826087,15.44565217391304,15.017391304347816,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-10,,,,,16.022222222222222,62.048611111111114,16.252083333333335,15.80694444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-11,,,,,19.704166666666662,44.861111111111114,19.950694444444444,19.468749999999986,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-12,,,,,24.403472222222224,25.75,24.632638888888884,24.183333333333344,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-13,,,,,26.734027777777783,21.90972222222222,26.95277777777778,26.497916666666654,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-14,,,,,27.297222222222217,17.97222222222222,27.554861111111112,27.04583333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-15,,,,,25.65972222222224,35.645833333333336,25.913194444444436,25.412500000000005,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-16,,,,,27.98819444444445,28.73611111111111,28.25000000000001,27.74166666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-17,,,,,25.542361111111113,40.15972222222222,25.79375,25.294444444444434,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-18,,,,,23.173611111111125,41.326388888888886,23.37569444444444,22.96944444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-19,,,,,21.03541666666666,50.625,21.25625,20.816666666666663,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-20,,,,,22.132638888888888,57.666666666666664,22.341666666666683,21.919444444444437,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-21,,,,,26.169444444444437,48.263888888888886,26.42777777777778,25.91388888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-22,,,,,31.677777777777756,14.229166666666666,31.915972222222237,31.450694444444455,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-23,,,,,34.89930555555555,9.159722222222221,35.11250000000001,34.66944444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-24,,,,,32.925694444444424,25.78472222222222,33.17986111111113,32.67708333333332,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-25,,,,,23.277083333333326,68.09027777777777,23.482638888888893,23.079861111111107,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-26,,,,,21.92152777777778,61.84722222222222,22.126388888888883,21.737499999999997,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-27,,,,,21.997916666666665,62.895833333333336,22.215277777777786,21.79861111111112,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-28,,,,,22.73611111111112,71.39583333333333,22.914583333333336,22.53541666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-29,,,,,25.395833333333343,62.50694444444444,25.60416666666667,25.1736111111111,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-30,,,,,27.52708333333335,50.77777777777778,27.74583333333334,27.30416666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-31,,,,,25.659027777777784,63.625,25.85833333333333,25.452777777777772,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-01,,,,,25.120138888888903,62.111111111111114,25.321527777777764,24.90833333333332,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-02,,,,,24.623943661971836,62.37323943661972,24.86408450704225,24.388028169014092,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-03,,,,,25.6826388888889,62.77777777777778,25.899305555555554,25.461805555555554,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-04,,,,,27.862500000000004,40.28472222222222,28.108333333333334,27.634722222222234,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-05,,,,,28.77569444444445,34.763888888888886,29.000694444444452,28.551388888888894,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-06,,,,,26.137500000000003,55.18055555555556,26.365277777777774,25.924999999999994,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-07,,,,,24.597916666666677,68.25694444444444,24.776388888888885,24.42916666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
