,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,West,East,South,North
2019-04-01,5.64861111111111,225.32638888888889,2.9840277777777775,21.759722222222226,17.342361111111114,36.236111111111114,17.496527777777786,17.187500000000004,216.96527777777777,120.6875,116.25694444444444,4.15,3.2354166666666666,1182.4722222222222,0.0,0,0,0,1,0,0,0,0
2019-04-02,4.817361111111111,174.17361111111111,2.4618055555555567,22.9638888888889,19.320833333333336,33.38194444444444,19.526388888888892,19.121527777777786,276.06944444444446,226.21527777777777,95.79166666666667,3.5312499999999996,2.6930555555555555,1167.1875,0.0,0,1,0,0,0,0,0,0
2019-04-03,5.039583333333331,183.20138888888889,2.7604166666666674,19.404861111111103,19.722222222222214,45.90277777777778,19.89444444444446,19.571527777777785,277.11805555555554,250.91666666666666,72.06944444444444,3.735416666666668,2.9680555555555563,1182.8472222222222,0.0,0,0,0,1,0,0,0,0
2019-04-04,4.908333333333333,147.38888888888889,2.720138888888889,23.447222222222226,22.14097222222223,41.84722222222222,22.32291666666666,21.971527777777773,248.59722222222223,184.71527777777777,105.24305555555556,3.7687499999999994,3.0006944444444437,1182.2291666666667,0.0,0,1,0,0,0,0,0,0
2019-04-05,3.838888888888887,133.63888888888889,2.038888888888889,20.83749999999999,19.693055555555553,48.8125,19.859722222222224,19.537499999999994,287.9513888888889,272.68055555555554,81.07638888888889,2.8861111111111106,2.235416666666667,1182.0833333333333,0.0,0,1,0,0,0,0,0,0
2019-04-06,4.133333333333331,142.59722222222223,2.2020833333333334,20.554861111111116,20.984722222222228,45.708333333333336,21.10625,20.85902777777778,182.90277777777777,53.40972222222222,125.68055555555556,3.0354166666666664,2.3909722222222234,1181.6875,0.0,0,1,0,0,0,0,0,0
2019-04-07,6.467361111111114,197.40277777777777,3.5062499999999996,19.28055555555555,25.911111111111126,33.59722222222222,26.10000000000001,25.737499999999997,292.99305555555554,251.25,89.375,4.697222222222223,3.7520833333333323,1181.6458333333333,0.0,0,0,0,1,0,0,0,0
2019-04-08,3.0562500000000004,190.85416666666666,1.727083333333334,20.25208333333334,23.96111111111112,35.798611111111114,24.161805555555546,23.772222222222215,162.81944444444446,19.34722222222222,134.81944444444446,2.4624999999999995,1.9437499999999999,1167.0277777777778,0.0,0,0,0,1,0,0,0,0
2019-04-09,4.009027777777777,139.75694444444446,2.2055555555555557,23.573611111111116,23.78333333333333,38.333333333333336,23.987500000000004,23.581249999999997,304.0,290.5625,72.29861111111111,3.0402777777777774,2.4298611111111112,1180.7569444444443,0.0,0,1,0,0,0,0,0,0
2019-04-10,4.3375,209.83333333333334,2.349305555555555,19.597916666666674,21.340277777777782,38.59027777777778,21.508333333333333,21.18749999999999,312.47222222222223,358.25694444444446,50.94444444444444,3.3451388888888896,2.5750000000000015,1182.1597222222222,0.0,0,0,0,1,0,0,0,0
