,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,West,South-West,East,North-West,North-East,North,South,South-East
2019-04-01,,,,,13.748611111111103,87.25,13.895833333333325,13.600694444444446,,,,,,,0.1138888888888889,1,0,0,0,0,0,0,0,0
2019-04-02,,,,,14.754166666666663,81.07638888888889,14.888888888888886,14.621527777777784,,,,,,,0.004861111111111111,1,0,0,0,0,0,0,0,0
2019-04-03,,,,,14.792361111111113,79.71527777777777,14.970833333333339,14.628472222222221,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-04,,,,,16.018749999999994,81.39583333333333,16.174305555555545,15.855555555555547,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-05,,,,,17.42916666666666,78.92361111111111,17.599999999999994,17.263194444444434,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-06,,,,,17.147222222222226,78.56944444444444,17.256944444444443,17.04375,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-07,,,,,21.191666666666666,59.673611111111114,21.372916666666672,21.014583333333334,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-08,,,,,19.77986111111111,69.54166666666667,19.9826388888889,19.555555555555557,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-09,,,,,19.427777777777777,70.5,19.633333333333326,19.231944444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-10,,,,,17.461805555555557,68.49305555555556,17.67916666666667,17.244444444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-11,,,,,17.046527777777772,71.23611111111111,17.243749999999995,16.839583333333334,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-12,,,,,17.829166666666662,76.38194444444444,18.002083333333342,17.653472222222206,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-13,,,,,22.115972222222226,54.90972222222222,22.349305555555546,21.88125,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-14,,,,,21.019444444444463,59.375,21.19861111111112,20.834722222222236,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-15,,,,,16.982638888888886,81.63888888888889,17.09652777777778,16.877083333333324,,,,,,,0.013194444444444446,1,0,0,0,0,0,0,0,0
2019-04-16,,,,,16.736805555555556,81.86111111111111,16.929166666666667,16.561111111111114,,,,,,,0.029861111111111102,1,0,0,0,0,0,0,0,0
2019-04-17,,,,,17.24097222222222,74.01388888888889,17.45902777777777,17.038888888888895,,,,,,,0.001388888888888889,1,0,0,0,0,0,0,0,0
2019-04-18,,,,,16.939583333333342,67.01388888888889,17.156250000000004,16.71944444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-19,,,,,16.659722222222218,64.52777777777777,16.89861111111111,16.425694444444446,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-04-20,,,,,16.45347222222223,67.36805555555556,16.675000000000004,16.24791666666666,,,,,,,0.013888888888888888,1,0,0,0,0,0,0,0,0
2019-04-21,,,,,14.766666666666676,59.65972222222222,14.984722222222226,14.566666666666663,,,,,,,0.025694444444444447,1,0,0,0,0,0,0,0,0
2019-04-22,,,,,15.80277777777777,64.27777777777777,16.017361111111125,15.592361111111122,,,,,,,0.015972222222222228,1,0,0,0,0,0,0,0,0
2019-04-23,,,,,15.951388888888898,67.67361111111111,16.145138888888884,15.768749999999995,,,,,,,0.0,1,0,0,0,0,0,0,0,0
