,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,West,South-West,South,North-East,North,South-East
2019-08-01,,,,,26.185314685314676,72.58741258741259,26.37062937062938,26.004895104895112,330.46153846153845,341.3986013986014,51.88811188811189,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-02,,,,,26.176388888888876,72.89583333333333,26.34375000000003,26.016666666666673,245.61111111111111,133.16666666666666,114.61805555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-03,,,,,26.00000000000001,74.39583333333333,26.15416666666667,25.844444444444445,292.90277777777777,232.32638888888889,95.57638888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-04,,,,,26.440972222222225,76.72222222222223,26.586805555555575,26.312500000000007,315.05555555555554,295.24305555555554,67.34027777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-05,,,,,26.73819444444445,76.91666666666667,26.893055555555552,26.570833333333336,321.2361111111111,283.84027777777777,75.06944444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-06,,,,,25.892361111111125,69.15277777777777,26.068055555555556,25.727777777777785,310.19444444444446,291.6666666666667,55.90972222222222,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-07,,,,,25.663829787234047,67.53191489361703,25.83687943262411,25.488652482269487,288.1914893617021,268.531914893617,61.730496453900706,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-08,,,,,26.013888888888882,74.07638888888889,26.17361111111111,25.85833333333333,299.9236111111111,261.28472222222223,74.71527777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-09,,,,,26.37222222222221,73.06944444444444,26.508333333333333,26.24027777777778,330.0416666666667,364.40972222222223,44.979166666666664,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-10,,,,,26.13263888888887,71.625,26.265277777777776,26.006249999999998,322.3958333333333,332.75694444444446,56.86805555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-11,,,,,26.153472222222213,74.625,26.30069444444444,26.001388888888883,316.21527777777777,322.3888888888889,58.763888888888886,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-12,,,,,26.357638888888903,75.40972222222223,26.49375,26.218750000000018,328.2027972027972,377.09027777777777,41.125,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-13,,,,,26.927083333333346,71.9375,27.113194444444446,26.738194444444446,318.96478873239437,138.86315789473684,52.02777777777778,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-14,,,,,26.649305555555557,71.96527777777777,26.79027777777777,26.49583333333333,296.6111111111111,21.046511627906977,57.0625,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-15,,,,,26.82430555555557,61.74305555555556,27.047222222222224,26.60902777777778,289.34722222222223,103.56818181818181,67.45833333333333,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-16,,,,,27.538194444444443,52.09722222222222,27.76250000000001,27.323611111111106,318.3286713286713,180.0108695652174,39.49305555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-17,,,,,26.117361111111112,74.15277777777777,26.275694444444447,25.95277777777778,263.3125,194.53472222222223,96.26388888888889,,,,0.0,1,0,0,0,0,0,0,0,0
