,WSmax_43,WDmax_43,WS_43,STDwd_43,TD_43,RH_43,TDmax_43,TDmin_43,Grad_43,NIP_43,DiffR_43,WS1mm_43,Ws10mm_43,Time_43,Rain_43,Fail_43,East_43,North-West_43,West_43,South-West_43,South_43,North-East_43,North_43,South-East_43
2019-08-01,,,,,26.18531468531468,72.5874125874126,26.370629370629377,26.00489510489511,330.46153846153845,341.3986013986014,51.88811188811189,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-02,,,,,26.17638888888888,72.89583333333333,26.343750000000032,26.016666666666676,245.61111111111111,133.16666666666666,114.61805555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-03,,,,,26.00000000000001,74.39583333333333,26.15416666666667,25.844444444444445,292.90277777777777,232.32638888888889,95.57638888888887,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-04,,,,,26.44097222222223,76.72222222222223,26.58680555555557,26.31250000000001,315.0555555555556,295.2430555555556,67.34027777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-05,,,,,26.738194444444453,76.91666666666667,26.89305555555555,26.570833333333336,321.2361111111111,283.84027777777777,75.06944444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-06,,,,,25.892361111111125,69.15277777777777,26.06805555555556,25.727777777777785,310.1944444444445,291.6666666666667,55.90972222222222,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-07,,,,,25.66382978723405,67.53191489361703,25.836879432624112,25.488652482269487,288.1914893617021,268.531914893617,61.730496453900706,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-08,,,,,26.01388888888888,74.0763888888889,26.17361111111111,25.85833333333333,299.9236111111111,261.28472222222223,74.71527777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-09,,,,,26.37222222222221,73.06944444444444,26.50833333333333,26.24027777777778,330.0416666666667,364.40972222222223,44.97916666666666,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-10,,,,,26.13263888888887,71.625,26.265277777777772,26.00625,322.3958333333333,332.7569444444445,56.868055555555564,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-11,,,,,26.15347222222221,74.625,26.300694444444442,26.00138888888889,316.21527777777777,322.3888888888889,58.76388888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-12,,,,,26.357638888888907,75.40972222222223,26.49375,26.218750000000014,328.2027972027972,377.09027777777777,41.125,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-13,,,,,26.927083333333343,71.9375,27.113194444444453,26.738194444444453,318.96478873239437,138.86315789473684,52.02777777777778,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-14,,,,,26.649305555555557,71.96527777777777,26.790277777777767,26.49583333333333,296.6111111111111,21.046511627906977,57.0625,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-15,,,,,26.824305555555572,61.743055555555564,27.047222222222228,26.609027777777783,289.34722222222223,103.5681818181818,67.45833333333333,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-16,,,,,27.538194444444446,52.09722222222222,27.76250000000001,27.323611111111106,318.3286713286713,180.0108695652174,39.493055555555564,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-17,,,,,26.117361111111112,74.15277777777777,26.27569444444445,25.952777777777783,263.3125,194.53472222222226,96.26388888888887,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-18,,,,,26.19148936170213,71.71631205673759,26.342553191489355,26.05035460992908,294.22695035460987,291.55319148936167,54.43262411347518,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-19,,,,,25.325000000000006,66.6388888888889,25.50694444444443,25.152777777777768,305.5486111111111,331.2916666666667,52.70138888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-20,,,,,25.641666666666666,69.72222222222223,25.808333333333334,25.47361111111111,287.90277777777777,299.21527777777777,58.930555555555564,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-21,,,,,26.300694444444453,68.8263888888889,26.48263888888888,26.11597222222223,305.4930555555556,108.23157894736843,40.020833333333336,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-22,,,,,26.795833333333324,70.20833333333333,26.962499999999995,26.627777777777773,314.09027777777777,42.85,37.305555555555564,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-23,,,,,27.452083333333334,69.0763888888889,27.59861111111111,27.296527777777772,304.8819444444445,1.7666666666666666,42.46527777777778,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-24,,,,,27.572916666666675,74.13194444444444,27.71249999999999,27.424305555555534,302.4513888888889,,42.611111111111114,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-25,,,,,26.97430555555556,75.1875,27.1375,26.81597222222223,306.72222222222223,,39.611111111111114,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-26,,,,,26.66180555555555,71.36805555555556,26.83888888888889,26.47708333333333,307.09722222222223,23.28205128205128,35.013888888888886,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-27,,,,,26.345138888888897,75.50694444444444,26.495138888888913,26.193055555555574,290.125,13.243243243243244,61.6875,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-28,,,,,26.623611111111124,76.15277777777777,26.76527777777777,26.47777777777778,293.6111111111111,299.375,55.368055555555564,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-29,,,,,26.793750000000006,76.44444444444444,26.935416666666665,26.652083333333334,284.625,269.6388888888889,62.548611111111114,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-30,,,,,26.71041666666667,76.36805555555556,26.84513888888888,26.579166666666694,296.7291666666667,326.7708333333333,46.131944444444436,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-31,,,,,26.724305555555567,75.30555555555556,26.882638888888888,26.554861111111112,298.2708333333333,168.1089108910891,44.03472222222222,,,,0.0,1,0,0,0,0,0,0,0,0
2019-09-01,,,,,24.4,87.0,24.5,24.3,0.0,2.0,0.0,,,,0.0,1,0,0,0,0,0,0,0,0
