,WSmax_43,WDmax_43,WS_43,STDwd_43,TD_43,RH_43,TDmax_43,TDmin_43,Grad_43,NIP_43,DiffR_43,WS1mm_43,Ws10mm_43,Time_43,Rain_43,Fail_43,East_43,North-West_43,West_43,South-West_43,South_43,North-East_43,North_43,South-East_43,WSmax_42,WDmax_42,WS_42,STDwd_42,TD_42,RH_42,TDmax_42,TDmin_42,Grad_42,NIP_42,DiffR_42,WS1mm_42,Ws10mm_42,Time_42,Rain_42,North-West_42,South-East_42,South-West_42,East_42,West_42,South_42,North-East_42,North_42,WSmax_41,WDmax_41,WS_41,STDwd_41,TD_41,RH_41,TDmax_41,TDmin_41,Grad_41,NIP_41,DiffR_41,WS1mm_41,Ws10mm_41,Time_41,Rain_41,Fail_41,East_41,North-West_41,West_41,South-West_41,South_41,North-East_41,North_41,South-East_41
2019-08-01,,,,,26.18531468531468,72.5874125874126,26.370629370629377,26.00489510489511,330.46153846153845,341.3986013986014,51.88811188811189,,,,0.0,1,0,0,0,0,0,0,0,0,6.19699248120301,271.6616541353383,3.5406015037593965,19.21804511278197,24.733082706766915,80.59398496240601,24.854887218045093,24.61729323308269,351.91729323308266,,,4.722556390977443,3.7060150375939847,1227.6917293233082,0.0,0,1,0,0,0,0,0,0,,,,,28.976923076923075,66.47552447552448,29.16783216783217,28.776223776223787,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-02,,,,,26.17638888888888,72.89583333333333,26.343750000000032,26.016666666666676,245.61111111111111,133.16666666666666,114.61805555555556,,,,0.0,1,0,0,0,0,0,0,0,0,8.139583333333334,255.63194444444446,5.077083333333332,16.676388888888894,24.04305555555557,83.7361111111111,24.17222222222221,23.93541666666667,211.61805555555557,,,6.393749999999999,5.3465277777777755,1181.5902777777776,0.0,0,0,1,0,0,0,0,0,,,,,28.87361111111112,65.7638888888889,29.0875,28.675694444444453,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-03,,,,,26.00000000000001,74.39583333333333,26.15416666666667,25.844444444444445,292.90277777777777,232.32638888888889,95.57638888888887,,,,0.0,1,0,0,0,0,0,0,0,0,7.627777777777778,255.44444444444446,4.80625,15.709722222222226,24.034722222222207,84.74305555555556,24.169444444444448,23.90833333333334,268.5138888888889,,,6.0763888888888875,5.104861111111114,1165.7083333333333,0.0,0,0,1,0,0,0,0,0,,,,,28.786805555555574,67.3263888888889,29.02222222222223,28.584722222222233,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-04,,,,,26.44097222222223,76.72222222222223,26.58680555555557,26.31250000000001,315.0555555555556,295.2430555555556,67.34027777777777,,,,0.0,1,0,0,0,0,0,0,0,0,9.170212765957444,235.47517730496452,6.738297872340425,12.582269503546105,23.924822695035445,88.77304964539007,24.041134751773047,23.812765957446803,299.59027777777777,,,7.785815602836879,6.947517730496457,1185.950354609929,0.0,0,0,1,0,0,0,0,0,,,,,28.840277777777786,71.125,29.01388888888889,28.647916666666692,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-05,,,,,26.738194444444453,76.91666666666667,26.89305555555555,26.570833333333336,321.2361111111111,283.84027777777777,75.06944444444444,,,,0.0,1,0,0,0,0,0,0,0,0,8.665277777777778,239.59722222222226,5.870138888888887,15.89583333333333,24.232638888888896,88.55555555555556,24.352777777777785,24.101388888888888,284.0694444444445,,,7.092361111111108,6.190277777777776,1183.25,0.0,0,0,1,0,0,0,0,0,,,,,29.17291666666667,70.47916666666667,29.34791666666667,28.998611111111106,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-06,,,,,25.892361111111125,69.15277777777777,26.06805555555556,25.727777777777785,310.1944444444445,291.6666666666667,55.90972222222222,,,,0.0,1,0,0,0,0,0,0,0,0,7.18125,245.5625,4.493055555555554,16.648611111111116,23.87569444444444,77.29166666666667,24.027083333333334,23.727083333333322,314.0833333333333,,,5.748611111111113,4.773611111111111,1182.3125,0.0,0,0,1,0,0,0,0,0,,,,,28.63958333333333,62.41666666666666,28.861805555555566,28.418055555555558,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-07,,,,,25.66382978723405,67.53191489361703,25.836879432624112,25.488652482269487,288.1914893617021,268.531914893617,61.730496453900706,,,,0.0,1,0,0,0,0,0,0,0,0,6.7735714285714295,246.25,4.461428571428568,14.164285714285716,23.98071428571428,74.47857142857143,24.094285714285718,23.86214285714284,297.2,,,5.516428571428573,4.705,1175.392857142857,0.0,0,0,1,0,0,0,0,0,,,,,28.189361702127663,62.624113475177296,28.389361702127662,27.986524822695042,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-08,,,,,26.01388888888888,74.0763888888889,26.17361111111111,25.85833333333333,299.9236111111111,261.28472222222223,74.71527777777777,,,,0.0,1,0,0,0,0,0,0,0,0,6.89375,263.7083333333333,4.516666666666667,13.721527777777775,24.17777777777778,81.60416666666667,24.309027777777786,24.05624999999999,278.0,,,5.621527777777777,4.715972222222224,1181.3680555555557,0.0,0,0,1,0,0,0,0,0,,,,,28.45,66.85416666666667,28.668055555555547,28.244444444444433,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-09,,,,,26.37222222222221,73.06944444444444,26.50833333333333,26.24027777777778,330.0416666666667,364.40972222222223,44.97916666666666,,,,0.0,1,0,0,0,0,0,0,0,0,9.790972222222218,247.09027777777774,6.544444444444448,15.602083333333342,23.882638888888877,83.94444444444444,24.009722222222212,23.749999999999996,303.7083333333333,,,7.8909722222222225,6.82777777777778,1181.8194444444443,0.0,0,0,1,0,0,0,0,0,,,,,28.868055555555557,67.05555555555556,29.08472222222223,28.66180555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-10,,,,,26.13263888888887,71.625,26.265277777777772,26.00625,322.3958333333333,332.7569444444445,56.868055555555564,,,,0.0,1,0,0,0,0,0,0,0,0,9.943055555555553,244.06944444444446,6.384722222222223,17.929166666666664,23.65347222222222,82.08333333333333,23.78194444444444,23.517361111111104,283.1041666666667,,,7.761805555555557,6.6694444444444425,1181.888888888889,0.0,0,0,1,0,0,0,0,0,,,,,28.746527777777793,65.3611111111111,28.97916666666667,28.52916666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
