,WSmax_43,WDmax_43,WS_43,STDwd_43,TD_43,RH_43,TDmax_43,TDmin_43,Grad_43,NIP_43,DiffR_43,WS1mm_43,Ws10mm_43,Time_43,Rain_43,Fail_43,East_43,North-West_43,West_43,South-West_43,South_43,North-East_43,North_43,South-East_43,WSmax_42,WDmax_42,WS_42,STDwd_42,TD_42,RH_42,TDmax_42,TDmin_42,Grad_42,NIP_42,DiffR_42,WS1mm_42,Ws10mm_42,Time_42,Rain_42,North-West_42,South-East_42,South-West_42,East_42,West_42,South_42,North-East_42,North_42,WSmax_41,WDmax_41,WS_41,STDwd_41,TD_41,RH_41,TDmax_41,TDmin_41,Grad_41,NIP_41,DiffR_41,WS1mm_41,Ws10mm_41,Time_41,Rain_41,Fail_41,East_41,North-West_41,West_41,South-West_41,South_41,North-East_41,North_41,South-East_41,WSmax_44,WDmax_44,WS_44,STDwd_44,TD_44,RH_44,TDmax_44,TDmin_44,Grad_44,NIP_44,DiffR_44,WS1mm_44,Ws10mm_44,Time_44,Rain_44,North-West_44,South-West_44,East_44,West_44,South_44,North-East_44,North_44,South-East_44,WSmax_78,WDmax_78,WS_78,STDwd_78,TD_78,RH_78,TDmax_78,TDmin_78,Grad_78,NIP_78,DiffR_78,WS1mm_78,Ws10mm_78,Time_78,Rain_78,South-East_78,South-West_78,East_78,North-West_78,West_78,South_78,North-East_78,North_78,WSmax_67,WDmax_67,WS_67,STDwd_67,TD_67,RH_67,TDmax_67,TDmin_67,Grad_67,NIP_67,DiffR_67,WS1mm_67,Ws10mm_67,Time_67,Rain_67,South-East_67,South-West_67,East_67,North-West_67,West_67,South_67,North-East_67,North_67
2019-08-01,,,,,26.18531468531468,72.5874125874126,26.370629370629377,26.00489510489511,330.46153846153845,341.3986013986014,51.88811188811189,,,,0.0,1,0,0,0,0,0,0,0,0,6.19699248120301,271.6616541353383,3.5406015037593965,19.21804511278197,24.733082706766915,80.59398496240601,24.854887218045093,24.61729323308269,351.91729323308266,,,4.722556390977443,3.7060150375939847,1227.6917293233082,0.0,0,1,0,0,0,0,0,0,,,,,28.976923076923075,66.47552447552448,29.16783216783217,28.776223776223787,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.4475524475524475,247.48951048951045,1.9027972027972029,17.934265734265736,27.266433566433573,74.48251748251748,27.466433566433558,27.075524475524468,,,,2.7167832167832167,2.0902097902097885,1173.1748251748252,0.0,0,1,0,0,0,0,0,0,4.342657342657345,298.3636363636364,2.198601398601399,21.582517482517492,27.79510489510489,74.08391608391608,27.96923076923077,27.641258741258742,,,,3.2251748251748253,2.391608391608392,1173.4405594405596,0.0,1,0,0,0,0,0,0,0,5.5496503496503475,262.5244755244755,3.8349650349650335,10.872027972027972,25.972727272727283,78.64335664335664,26.16573426573427,25.789510489510487,331.6503496503496,,,4.68111888111888,4.023776223776225,1173.944055944056,0.0,0,1,0,0,0,0,0,0
2019-08-02,,,,,26.17638888888888,72.89583333333333,26.343750000000032,26.016666666666676,245.61111111111111,133.16666666666666,114.61805555555556,,,,0.0,1,0,0,0,0,0,0,0,0,8.139583333333334,255.63194444444446,5.077083333333332,16.676388888888894,24.04305555555557,83.7361111111111,24.17222222222221,23.93541666666667,211.61805555555557,,,6.393749999999999,5.3465277777777755,1181.5902777777776,0.0,0,0,1,0,0,0,0,0,,,,,28.87361111111112,65.7638888888889,29.0875,28.675694444444453,,,,,,,0.0,1,0,0,0,0,0,0,0,0,4.024305555555554,251.22222222222226,2.0118055555555556,21.546527777777772,28.06597222222224,71.59027777777777,28.309027777777786,27.82777777777777,,,,2.94097222222222,2.227083333333334,1181.5277777777776,0.0,0,1,0,0,0,0,0,0,4.672222222222223,286.2638888888889,2.0826388888888885,29.504861111111122,28.433333333333326,70.15972222222223,28.603472222222226,28.26111111111112,,,,3.318750000000001,2.3006944444444444,1181.923611111111,0.0,1,0,0,0,0,0,0,0,6.27430555555556,246.30555555555557,4.459027777777773,10.51666666666666,25.643055555555573,79.70833333333333,25.861805555555566,25.434027777777786,280.7430555555556,,,5.3305555555555575,4.648611111111109,1182.048611111111,0.0,0,1,0,0,0,0,0,0
2019-08-03,,,,,26.00000000000001,74.39583333333333,26.15416666666667,25.844444444444445,292.90277777777777,232.32638888888889,95.57638888888887,,,,0.0,1,0,0,0,0,0,0,0,0,7.627777777777778,255.44444444444446,4.80625,15.709722222222226,24.034722222222207,84.74305555555556,24.169444444444448,23.90833333333334,268.5138888888889,,,6.0763888888888875,5.104861111111114,1165.7083333333333,0.0,0,0,1,0,0,0,0,0,,,,,28.786805555555574,67.3263888888889,29.02222222222223,28.584722222222233,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.253472222222223,205.83333333333331,1.6944444444444446,19.052777777777774,27.15347222222222,75.4236111111111,27.415277777777767,26.91249999999998,,,,2.497916666666666,1.870833333333334,1182.75,0.0,0,1,0,0,0,0,0,0,4.078472222222227,273.6736111111111,1.9388888888888896,26.23402777777779,27.839583333333348,73.125,28.03194444444443,27.65138888888889,,,,3.0361111111111097,2.173611111111112,1182.2708333333333,0.0,0,1,0,0,0,0,0,0,5.8583333333333325,245.625,4.028472222222224,11.393749999999995,25.640277777777786,80.7638888888889,25.84513888888889,25.44444444444445,307.6805555555556,,,4.929861111111112,4.220833333333331,1181.9375,0.0,0,1,0,0,0,0,0,0
2019-08-04,,,,,26.44097222222223,76.72222222222223,26.58680555555557,26.31250000000001,315.0555555555556,295.2430555555556,67.34027777777777,,,,0.0,1,0,0,0,0,0,0,0,0,9.170212765957444,235.47517730496452,6.738297872340425,12.582269503546105,23.924822695035445,88.77304964539007,24.041134751773047,23.812765957446803,299.59027777777777,,,7.785815602836879,6.947517730496457,1185.950354609929,0.0,0,0,1,0,0,0,0,0,,,,,28.840277777777786,71.125,29.01388888888889,28.647916666666692,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.751388888888888,181.09027777777774,2.029166666666666,17.879861111111108,27.82083333333333,77.2361111111111,28.02708333333333,27.601388888888888,,,,2.8458333333333337,2.185416666666667,1181.1597222222224,0.0,0,1,0,0,0,0,0,0,3.668055555555557,229.29861111111111,1.7715277777777785,24.24722222222222,27.906944444444452,75.375,28.099305555555567,27.70555555555555,,,,2.6729166666666666,1.9791666666666676,1182.1319444444443,0.0,0,1,0,0,0,0,0,0,6.439583333333331,236.59722222222226,4.368055555555555,12.76527777777778,26.13055555555556,83.08333333333333,26.31736111111111,25.965277777777786,319.3680555555556,,,5.2847222222222205,4.569444444444444,1165.513888888889,0.0,0,1,0,0,0,0,0,0
2019-08-05,,,,,26.738194444444453,76.91666666666667,26.89305555555555,26.570833333333336,321.2361111111111,283.84027777777777,75.06944444444444,,,,0.0,1,0,0,0,0,0,0,0,0,8.665277777777778,239.59722222222226,5.870138888888887,15.89583333333333,24.232638888888896,88.55555555555556,24.352777777777785,24.101388888888888,284.0694444444445,,,7.092361111111108,6.190277777777776,1183.25,0.0,0,0,1,0,0,0,0,0,,,,,29.17291666666667,70.47916666666667,29.34791666666667,28.998611111111106,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.8749999999999982,183.46527777777774,2.0986111111111105,18.66875,28.07291666666667,77.85416666666667,28.28333333333332,27.863194444444442,,,,2.948611111111111,2.260416666666667,1181.763888888889,0.0,0,1,0,0,0,0,0,0,3.809027777777777,238.48611111111111,1.9986111111111107,23.28333333333334,28.28611111111111,75.77777777777777,28.466666666666665,28.10277777777777,,,,2.8763888888888887,2.2118055555555554,1181.888888888889,0.0,0,1,0,0,0,0,0,0,6.599999999999996,235.68055555555557,4.329861111111111,13.43819444444444,26.42430555555556,84.30555555555556,26.59097222222222,26.25625,293.6666666666667,,,5.343055555555557,4.520833333333332,1165.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-08-06,,,,,25.892361111111125,69.15277777777777,26.06805555555556,25.727777777777785,310.1944444444445,291.6666666666667,55.90972222222222,,,,0.0,1,0,0,0,0,0,0,0,0,7.18125,245.5625,4.493055555555554,16.648611111111116,23.87569444444444,77.29166666666667,24.027083333333334,23.727083333333322,314.0833333333333,,,5.748611111111113,4.773611111111111,1182.3125,0.0,0,0,1,0,0,0,0,0,,,,,28.63958333333333,62.41666666666666,28.861805555555566,28.418055555555558,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.7625,184.71527777777774,1.995138888888888,19.017361111111125,27.371527777777768,70.6875,27.612499999999994,27.12708333333335,,,,2.8479166666666664,2.165972222222221,1181.701388888889,0.0,0,1,0,0,0,0,0,0,3.834722222222224,232.49305555555557,1.928472222222222,21.70833333333334,27.48333333333333,67.46527777777777,27.709027777777788,27.27638888888889,,,,2.8409722222222222,2.1374999999999997,1181.701388888889,0.0,0,1,0,0,0,0,0,0,5.7256944444444455,233.15277777777774,3.7180555555555577,13.102083333333335,25.784722222222207,75.09722222222223,25.971527777777762,25.613194444444428,322.0763888888889,,,4.637499999999998,3.909722222222225,1180.5,0.0,0,1,0,0,0,0,0,0
2019-08-07,,,,,25.66382978723405,67.53191489361703,25.836879432624112,25.488652482269487,288.1914893617021,268.531914893617,61.730496453900706,,,,0.0,1,0,0,0,0,0,0,0,0,6.7735714285714295,246.25,4.461428571428568,14.164285714285716,23.98071428571428,74.47857142857143,24.094285714285718,23.86214285714284,297.2,,,5.516428571428573,4.705,1175.392857142857,0.0,0,0,1,0,0,0,0,0,,,,,28.189361702127663,62.624113475177296,28.389361702127662,27.986524822695042,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.995035460992906,202.7730496453901,2.163829787234042,19.165957446808513,26.802127659574467,71.02127659574468,26.993617021276602,26.621985815602827,,,,3.0659574468085085,2.3468085106382968,1173.0283687943265,0.0,0,1,0,0,0,0,0,0,3.8404255319148937,233.05673758865245,2.098581560283686,17.957446808510632,26.961702127659567,67.68794326241135,27.158156028368783,26.79007092198581,,,,2.9666666666666663,2.3085106382978724,1189.914893617021,0.0,0,1,0,0,0,0,0,0,5.7929078014184405,236.32624113475174,3.908510638297874,12.663829787234052,25.68014184397163,75.17021276595744,25.882978723404253,25.490070921985822,281.21276595744683,,,4.823404255319151,4.126241134751773,1189.1985815602834,0.0,0,1,0,0,0,0,0,0
2019-08-08,,,,,26.01388888888888,74.0763888888889,26.17361111111111,25.85833333333333,299.9236111111111,261.28472222222223,74.71527777777777,,,,0.0,1,0,0,0,0,0,0,0,0,6.89375,263.7083333333333,4.516666666666667,13.721527777777775,24.17777777777778,81.60416666666667,24.309027777777786,24.05624999999999,278.0,,,5.621527777777777,4.715972222222224,1181.3680555555557,0.0,0,0,1,0,0,0,0,0,,,,,28.45,66.85416666666667,28.668055555555547,28.244444444444433,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.49236111111111,205.57638888888889,1.9388888888888884,17.994444444444458,26.595833333333346,76.65972222222223,26.831250000000008,26.381944444444446,,,,2.764583333333334,2.114583333333332,1182.0208333333333,0.0,0,1,0,0,0,0,0,0,4.031944444444443,251.77777777777774,1.9812500000000008,20.62569444444446,27.23333333333336,73.16666666666667,27.440277777777787,27.04722222222223,,,,3.00625,2.1999999999999993,1182.0972222222224,0.0,0,1,0,0,0,0,0,0,5.549305555555557,256.4236111111111,3.8444444444444437,11.742361111111109,25.71597222222222,79.54166666666667,25.93125,25.520138888888894,297.2013888888889,,,4.695138888888888,4.043055555555553,1166.25,0.0,0,1,0,0,0,0,0,0
2019-08-09,,,,,26.37222222222221,73.06944444444444,26.50833333333333,26.24027777777778,330.0416666666667,364.40972222222223,44.97916666666666,,,,0.0,1,0,0,0,0,0,0,0,0,9.790972222222218,247.09027777777774,6.544444444444448,15.602083333333342,23.882638888888877,83.94444444444444,24.009722222222212,23.749999999999996,303.7083333333333,,,7.8909722222222225,6.82777777777778,1181.8194444444443,0.0,0,0,1,0,0,0,0,0,,,,,28.868055555555557,67.05555555555556,29.08472222222223,28.66180555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0,4.0875,212.65277777777774,2.1326388888888874,18.6875,27.562500000000004,75.19444444444444,27.81875000000001,27.30138888888888,,,,3.0687500000000005,2.3277777777777793,1181.4166666666667,0.0,0,1,0,0,0,0,0,0,4.600694444444441,265.9236111111111,2.1708333333333343,26.06041666666667,28.42430555555556,69.69444444444444,28.62013888888889,28.26736111111112,,,,3.334722222222221,2.388194444444444,1167.4791666666667,0.0,0,1,0,0,0,0,0,0,7.487499999999998,241.35416666666663,5.232638888888891,11.268055555555543,25.7375,81.59027777777777,25.91180555555555,25.57430555555554,324.6944444444445,,,6.247222222222218,5.438194444444443,1165.6805555555557,0.0,0,1,0,0,0,0,0,0
2019-08-10,,,,,26.13263888888887,71.625,26.265277777777772,26.00625,322.3958333333333,332.7569444444445,56.868055555555564,,,,0.0,1,0,0,0,0,0,0,0,0,9.943055555555553,244.06944444444446,6.384722222222223,17.929166666666664,23.65347222222222,82.08333333333333,23.78194444444444,23.517361111111104,283.1041666666667,,,7.761805555555557,6.6694444444444425,1181.888888888889,0.0,0,0,1,0,0,0,0,0,,,,,28.746527777777793,65.3611111111111,28.97916666666667,28.52916666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.83263888888889,212.61111111111111,1.9305555555555558,21.4875,27.483333333333324,72.4861111111111,27.74791666666668,27.236805555555566,,,,2.8555555555555534,2.100694444444446,1181.4722222222224,0.0,0,1,0,0,0,0,0,0,4.620138888888894,263.8680555555556,2.1555555555555554,27.45902777777779,28.1222222222222,68.72222222222223,28.321527777777767,27.92152777777777,,,,3.3562500000000006,2.3951388888888903,1182.3541666666667,0.0,0,1,0,0,0,0,0,0,7.552777777777778,242.3125,5.263888888888889,11.281250000000005,25.45208333333335,80.1736111111111,25.64236111111112,25.274305555555557,314.0833333333333,,,6.257638888888889,5.484722222222217,1181.548611111111,0.0,0,1,0,0,0,0,0,0
