,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,West,East,North,South,South-East
2019-04-01,3.975694444444443,198.65277777777777,1.7687500000000005,25.32569444444446,18.651388888888885,33.90277777777778,18.801388888888894,18.488888888888887,266.875,,,2.7375,1.9604166666666663,1182.0625,0.0,0,0,1,0,0,0,0,0
2019-04-02,4.449305555555556,199.69444444444446,2.0902777777777777,24.76180555555556,20.961805555555557,33.96527777777778,21.103472222222223,20.812499999999996,275.1666666666667,,,3.1020833333333337,2.2951388888888893,1180.9652777777778,0.0,0,0,1,0,0,0,0,0
2019-04-03,4.2340277777777775,140.8125,1.9680555555555566,24.243750000000002,20.98055555555556,48.888888888888886,21.12708333333334,20.838194444444447,283.0486111111111,,,2.9020833333333336,2.1694444444444447,1165.9930555555557,0.003472222222222222,0,1,0,0,0,0,0,0
2019-04-04,4.076388888888888,130.29166666666666,1.7604166666666663,30.060416666666672,23.22916666666666,41.923611111111114,23.385416666666675,23.063888888888886,234.9375,,,2.7951388888888897,1.9791666666666674,1181.486111111111,0.0,0,1,0,0,0,0,0,0
2019-04-05,5.049305555555556,167.80555555555554,2.1430555555555557,28.234722222222228,21.963194444444447,39.923611111111114,22.08888888888889,21.82013888888889,275.5625,,,3.3715277777777772,2.352083333333333,1182.0902777777778,0.0,0,1,0,0,0,0,0,0
2019-04-06,4.595138888888886,127.74305555555556,2.12361111111111,24.438888888888883,22.615277777777763,43.513888888888886,22.73888888888888,22.484722222222207,189.70833333333334,,,3.1284722222222237,2.3291666666666657,1182.25,0.0,0,1,0,0,0,0,0,0
2019-04-07,3.5583333333333322,222.42361111111111,1.7347222222222227,23.43055555555555,25.488194444444442,40.5,25.636111111111106,25.332638888888876,296.6875,,,2.4951388888888895,1.8923611111111112,1182.5555555555557,0.0,0,0,1,0,0,0,0,0
2019-04-08,2.0534722222222226,149.79166666666666,0.9472222222222229,25.154166666666683,24.852083333333336,39.923611111111114,25.00208333333334,24.69236111111112,119.21527777777777,,,1.5562499999999992,1.0986111111111114,1165.0277777777778,0.0,0,1,0,0,0,0,0,0
2019-04-09,4.281944444444445,124.45138888888889,1.8805555555555549,27.089583333333334,25.27013888888889,38.763888888888886,25.459027777777766,25.079166666666662,304.5833333333333,,,2.8840277777777765,2.0888888888888895,1166.611111111111,0.0,0,1,0,0,0,0,0,0
2019-04-10,6.173611111111111,167.30555555555554,2.540972222222223,30.31458333333332,23.31527777777778,33.81944444444444,23.450694444444455,23.173611111111118,311.0833333333333,,,4.045833333333334,2.8090277777777763,1182.7152777777778,0.0,0,1,0,0,0,0,0,0
2019-04-11,7.139583333333334,46.61805555555556,2.8805555555555555,29.470138888888908,22.877777777777787,27.48611111111111,23.01736111111112,22.714583333333344,323.0,,,4.472916666666665,3.1312499999999988,1181.7569444444443,0.0,1,0,0,0,0,0,0,0
2019-04-12,7.804861111111107,43.708333333333336,3.222222222222222,28.20902777777778,23.427083333333336,32.673611111111114,23.57291666666667,23.264583333333334,323.8333333333333,,,4.999305555555556,3.509027777777777,1180.8541666666667,0.0,1,0,0,0,0,0,0,0
2019-04-13,4.529166666666666,143.44444444444446,2.088194444444444,24.38611111111112,25.891666666666666,31.395833333333332,26.03194444444445,25.737499999999994,311.8263888888889,,,3.065277777777778,2.2666666666666657,1182.7916666666667,0.0,0,1,0,0,0,0,0,0
2019-04-14,4.285416666666667,190.35416666666666,1.9104166666666675,26.509722222222234,27.511805555555565,30.09027777777778,27.684722222222216,27.339583333333334,266.52777777777777,,,2.8805555555555546,2.1118055555555544,1183.0347222222222,0.0,0,0,1,0,0,0,0,0
2019-04-15,6.658333333333334,41.666666666666664,2.820833333333332,27.196527777777785,23.293750000000003,44.55555555555556,23.39375000000001,23.18958333333334,157.93055555555554,,,4.337499999999998,3.1090277777777766,1181.4166666666667,0.0,1,0,0,0,0,0,0,0
2019-04-16,5.016666666666666,106.90277777777777,1.9979166666666661,31.38402777777776,24.836805555555557,37.326388888888886,25.00486111111111,24.67361111111112,282.25,,,3.3381944444444436,2.2638888888888906,1182.673611111111,0.0,0,1,0,0,0,0,0,0
2019-04-17,5.877083333333333,143.61805555555554,2.421527777777778,30.470138888888894,22.719444444444452,35.63194444444444,22.88680555555557,22.544444444444462,308.96527777777777,,,3.919444444444445,2.7131944444444436,1181.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-04-18,5.759027777777778,111.10416666666667,2.402083333333333,30.07291666666668,21.59652777777778,35.80555555555556,21.73819444444445,21.452083333333324,323.875,,,3.834722222222224,2.6687500000000006,1181.8194444444443,0.0,0,1,0,0,0,0,0,0
2019-04-19,4.278472222222224,180.91666666666666,1.8069444444444445,29.133333333333333,21.520138888888884,29.208333333333332,21.688888888888894,21.33333333333334,321.6041666666667,,,2.9180555555555556,2.0493055555555553,1181.7430555555557,0.0,0,0,1,0,0,0,0,0
2019-04-20,4.0902777777777795,166.22222222222223,1.783333333333333,29.40694444444445,20.92708333333333,34.423611111111114,21.077777777777776,20.785416666666674,326.30555555555554,,,2.8659722222222213,2.00486111111111,1165.4652777777778,0.0,0,1,0,0,0,0,0,0
2019-04-21,5.462499999999999,213.70138888888889,2.088194444444444,37.60833333333333,19.597916666666674,35.44444444444444,19.766666666666666,19.4298611111111,312.3333333333333,,,3.6229166666666655,2.3874999999999997,1182.7152777777778,0.0,0,0,1,0,0,0,0,0
2019-04-22,4.733333333333333,147.15972222222223,1.9854166666666662,28.31180555555555,19.302083333333332,34.111111111111114,19.439583333333346,19.147916666666664,330.625,,,3.237499999999999,2.2180555555555563,1181.0555555555557,0.0,0,1,0,0,0,0,0,0
2019-04-23,6.959722222222222,52.201388888888886,2.8694444444444445,29.818055555555574,21.187499999999993,26.78472222222222,21.33749999999999,21.03333333333334,296.36805555555554,,,4.409027777777778,3.1374999999999993,1181.6944444444443,0.0,1,0,0,0,0,0,0,0
2019-04-24,8.530555555555555,34.49305555555556,3.761805555555556,25.77847222222222,24.909027777777776,29.694444444444443,25.056249999999984,24.751388888888894,315.50694444444446,,,5.464583333333334,4.034722222222222,1182.4444444444443,0.0,1,0,0,0,0,0,0,0
2019-04-25,8.468749999999998,47.00694444444444,3.717361111111111,25.823611111111102,27.11388888888889,24.020833333333332,27.249305555555576,26.96736111111111,308.9791666666667,,,5.393749999999996,3.9854166666666666,1183.1944444444443,0.0,1,0,0,0,0,0,0,0
2019-04-26,8.194444444444443,49.75,3.388888888888889,28.540277777777778,28.89652777777778,19.819444444444443,29.04791666666666,28.75069444444444,320.5486111111111,,,5.1541666666666694,3.6645833333333346,1182.3194444444443,0.0,1,0,0,0,0,0,0,0
2019-04-27,7.441666666666665,89.85416666666667,3.047222222222221,29.756250000000016,28.98194444444444,21.1875,29.14097222222223,28.825000000000014,318.8125,,,4.748611111111114,3.3444444444444454,1181.486111111111,0.0,1,0,0,0,0,0,0,0
2019-04-28,4.622222222222221,74.97222222222223,1.8715277777777777,31.21944444444444,28.424305555555563,20.90277777777778,28.593750000000007,28.24791666666667,331.90972222222223,,,3.0673611111111105,2.1104166666666675,1182.3402777777778,0.0,1,0,0,0,0,0,0,0
2019-04-29,3.1750000000000003,123.25,1.4590277777777785,26.006250000000012,29.192361111111104,21.77777777777778,29.459722222222215,28.926388888888887,305.99305555555554,,,2.2472222222222236,1.6625000000000005,1181.9166666666667,0.0,0,1,0,0,0,0,0,0
2019-04-30,4.404166666666668,78.29861111111111,1.8208333333333324,30.258333333333326,31.442361111111122,17.055555555555557,31.60416666666667,31.25902777777776,294.5208333333333,,,2.915277777777778,2.028472222222222,1181.7916666666667,0.0,1,0,0,0,0,0,0,0
2019-05-01,4.133636363636362,105.64545454545454,1.8418181818181825,24.810909090909096,30.279816513761467,23.045454545454547,30.54181818181818,30.163636363636364,155.54545454545453,,,2.7581818181818196,2.058181818181819,1226.5636363636363,0.0,0,1,0,0,0,0,0,0
2019-05-02,5.301388888888889,74.45138888888889,2.159722222222223,26.735416666666673,33.000694444444456,18.479166666666668,33.199999999999996,32.79583333333333,283.7013888888889,,,3.4229166666666666,2.428472222222222,1182.6319444444443,0.0,1,0,0,0,0,0,0,0
2019-05-03,6.2749999999999995,169.58333333333334,2.559027777777778,31.018750000000004,29.533333333333342,25.944444444444443,29.738194444444453,29.342361111111106,230.52777777777777,,,4.070138888888888,2.8791666666666664,1180.888888888889,0.0,0,1,0,0,0,0,0,0
2019-05-04,7.8381944444444445,43.77777777777778,3.333333333333333,27.518749999999997,25.500694444444427,23.57638888888889,25.652777777777793,25.345833333333324,336.6666666666667,,,5.036805555555554,3.611111111111111,1166.1041666666667,0.0,1,0,0,0,0,0,0,0
2019-05-05,5.71041666666667,73.18055555555556,2.4187500000000006,27.958333333333332,27.252083333333317,38.111111111111114,27.4548611111111,27.05347222222222,291.2013888888889,,,3.6937500000000014,2.6638888888888896,1166.3333333333333,0.0,1,0,0,0,0,0,0,0
2019-05-06,3.832867132867132,111.73426573426573,1.691608391608392,27.179720279720282,30.90909090909091,17.11888111888112,31.124475524475546,30.683216783216782,291.0979020979021,,,2.586713286713285,1.8993006993007002,1177.7832167832169,0.0,0,1,0,0,0,0,0,0
2019-05-07,6.614583333333333,132.40277777777777,2.670138888888889,31.930555555555557,27.463194444444447,29.229166666666668,27.615972222222226,27.30416666666667,228.20833333333334,,,4.268055555555554,2.968055555555554,1181.7430555555557,0.0,0,1,0,0,0,0,0,0
2019-05-08,6.426388888888887,43.5625,2.615277777777779,29.35833333333333,24.54722222222223,28.444444444444443,24.700694444444444,24.389583333333334,333.40972222222223,,,4.165277777777778,2.8895833333333343,1181.7152777777778,0.0,1,0,0,0,0,0,0,0
2019-05-09,6.350714285714289,97.23571428571428,2.5664285714285717,31.436428571428582,23.421428571428574,35.52857142857143,23.56428571428572,23.274285714285714,337.34285714285716,,,4.0778571428571455,2.8678571428571433,1160.1285714285714,0.0,0,1,0,0,0,0,0,0
2019-05-10,5.654166666666665,54.8125,2.259027777777777,29.897222222222208,24.46041666666667,27.743055555555557,24.604861111111116,24.31736111111111,338.3611111111111,,,3.6256944444444446,2.489583333333334,1181.701388888889,0.0,1,0,0,0,0,0,0,0
2019-05-11,7.036111111111111,46.25694444444444,2.877083333333333,29.92638888888888,26.836805555555554,29.20138888888889,26.97708333333334,26.687500000000014,333.5,,,4.433333333333335,3.1298611111111114,1182.1458333333333,0.0,1,0,0,0,0,0,0,0
