,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,West,East,North-East,North,South
2019-04-01,5.524305555555556,237.84027777777777,3.5652777777777778,12.753472222222223,13.30416666666667,80.02083333333333,13.457638888888889,13.17569444444444,140.95138888888889,,,4.429861111111112,3.787499999999999,1182.5972222222222,0.051388888888888894,0,0,1,0,0,0,0,0
2019-04-02,4.239583333333334,191.81944444444446,2.5611111111111113,14.511111111111104,14.224305555555556,73.46527777777777,14.44097222222222,14.015277777777783,271.5833333333333,,,3.343749999999999,2.7430555555555567,1183.173611111111,0.0,0,0,1,0,0,0,0,0
2019-04-03,3.15763888888889,135.93055555555554,1.8472222222222219,18.834027777777784,14.311805555555553,73.89583333333333,14.56597222222222,14.049999999999995,291.1666666666667,,,2.527777777777777,2.03125,1181.9166666666667,0.0,1,0,0,0,0,0,0,0
2019-04-04,3.2548611111111114,213.11111111111111,1.734027777777778,21.819444444444443,14.891666666666664,83.97222222222223,15.096527777777775,14.69930555555555,216.68055555555554,,,2.4916666666666654,1.9284722222222226,1166.7083333333333,0.0,0,0,1,0,0,0,0,0
2019-04-05,3.1861111111111113,196.78472222222223,1.7645833333333336,19.900000000000013,14.69791666666667,83.96527777777777,14.960416666666674,14.445833333333335,251.67361111111111,,,2.507638888888889,1.9625000000000006,1182.076388888889,0.0,0,0,1,0,0,0,0,0
2019-04-06,2.683333333333333,112.93055555555556,1.5638888888888882,22.04930555555555,16.766666666666666,76.22916666666667,17.020833333333336,16.517361111111114,187.09027777777777,,,2.206249999999999,1.7673611111111112,1181.4791666666667,0.0006944444444444445,1,0,0,0,0,0,0,0
2019-04-07,4.6520833333333345,165.86111111111111,2.80625,15.622222222222225,22.018749999999997,49.354166666666664,22.268749999999994,21.770833333333325,291.7986111111111,,,3.6229166666666677,2.9979166666666655,1182.2847222222222,0.0,1,0,0,0,0,0,0,0
2019-04-08,3.1381944444444434,229.14583333333334,1.7993055555555557,20.66805555555557,18.441666666666656,71.73611111111111,18.69722222222223,18.19791666666667,280.6666666666667,,,2.530555555555555,1.9895833333333337,1183.7083333333333,0.0,0,0,1,0,0,0,0,0
2019-04-09,4.761111111111109,238.82638888888889,2.8041666666666667,17.120138888888885,17.693749999999998,73.74305555555556,17.93541666666667,17.459027777777788,278.25694444444446,,,3.765972222222221,3.050000000000001,1183.1319444444443,0.0,0,0,1,0,0,0,0,0
2019-04-10,3.2173611111111104,198.21527777777777,1.7902777777777783,18.852083333333326,15.403472222222227,74.43055555555556,15.664583333333333,15.148611111111105,293.1666666666667,,,2.5312500000000018,1.9819444444444447,1164.8125,0.0,0,0,1,0,0,0,0,0
2019-04-11,3.945833333333333,118.79166666666667,2.1944444444444424,17.831249999999997,14.788194444444448,72.86111111111111,15.043750000000008,14.545138888888893,315.9513888888889,,,3.022222222222222,2.384027777777777,1183.1527777777778,0.0,1,0,0,0,0,0,0,0
2019-04-12,3.7986111111111125,136.88888888888889,2.1645833333333337,16.1076388888889,15.902777777777768,78.31944444444444,16.129166666666674,15.6763888888889,311.72222222222223,,,2.9479166666666674,2.3270833333333343,1182.701388888889,0.0,1,0,0,0,0,0,0,0
2019-04-13,4.182638888888889,159.08333333333334,2.374305555555555,20.747916666666654,20.923611111111104,62.53472222222222,21.17916666666666,20.619444444444436,296.2291666666667,,,3.2020833333333334,2.60625,1183.4097222222222,0.0,1,0,0,0,0,0,0,0
