,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,South,West,South-East,North-East,North,East
2019-04-01,3.620833333333334,196.40277777777777,2.0715277777777783,14.892361111111118,14.175694444444444,96.96527777777777,14.306944444444433,14.053472222222219,105.98611111111111,,,2.816666666666666,2.3305555555555557,1182.4583333333333,0.04027777777777779,0,1,0,0,0,0,0,0
2019-04-02,2.4201388888888897,164.93055555555554,1.499305555555556,13.07916666666667,14.843750000000004,97.00694444444444,14.973611111111113,14.722222222222225,177.52083333333334,,,1.9944444444444445,1.6965277777777785,1167.138888888889,0.08888888888888885,1,0,0,0,0,0,0,0
2019-04-03,2.628472222222223,169.5,1.7368055555555553,13.810416666666665,15.187500000000004,83.16666666666667,15.346527777777775,15.029861111111119,282.63194444444446,,,2.1597222222222228,1.911805555555556,1182.5416666666667,0.0,1,0,0,0,0,0,0,0
2019-04-04,3.0756944444444456,175.95138888888889,1.9840277777777773,15.47152777777777,17.33402777777778,74.54166666666667,17.494444444444444,17.181250000000002,248.32638888888889,,,2.541666666666666,2.1875,1182.3958333333333,0.0,0,1,0,0,0,0,0,0
2019-04-05,3.4756944444444446,187.28472222222223,2.215972222222222,14.084722222222231,17.488194444444453,85.27083333333333,17.67291666666666,17.322916666666657,239.25,,,2.8499999999999996,2.431944444444445,1165.3819444444443,0.0,0,1,0,0,0,0,0,0
2019-04-06,2.5659722222222214,161.99305555555554,1.6548611111111111,14.446527777777773,17.177083333333346,87.63194444444444,17.31666666666667,17.038888888888888,153.55555555555554,,,2.1534722222222213,1.843055555555557,1182.673611111111,0.0,1,0,0,0,0,0,0,0
2019-04-07,2.6625,194.45138888888889,1.6618055555555555,17.091666666666654,21.041666666666664,72.66666666666667,21.211805555555557,20.857638888888896,264.28472222222223,,,2.1986111111111106,1.899305555555556,1182.4097222222222,0.0006944444444444445,0,1,0,0,0,0,0,0
2019-04-08,3.0076388888888888,184.85416666666666,1.8527777777777779,16.97847222222223,20.05694444444445,74.88194444444444,20.234722222222224,19.867361111111116,274.5763888888889,,,2.4534722222222216,2.0701388888888883,1166.236111111111,0.0,0,1,0,0,0,0,0,0
2019-04-09,3.53263888888889,170.13194444444446,2.207638888888889,16.63263888888888,19.215277777777782,77.53472222222223,19.381249999999994,19.043055555555554,283.3263888888889,,,2.8243055555555543,2.43125,1183.013888888889,0.0,1,0,0,0,0,0,0,0
2019-04-10,4.151388888888889,213.28472222222223,2.5965277777777778,17.526388888888903,18.423611111111107,73.85416666666667,18.612499999999994,18.236111111111107,248.40972222222223,,,3.4000000000000004,2.8458333333333337,1166.3541666666667,0.0,0,1,0,0,0,0,0,0
2019-04-11,3.710416666666667,193.17361111111111,2.382638888888889,14.306944444444436,17.001388888888883,77.34027777777777,17.181250000000002,16.82291666666666,290.5138888888889,,,3.014583333333333,2.5993055555555564,1166.423611111111,0.0,0,1,0,0,0,0,0,0
2019-04-12,3.4034722222222227,166.20138888888889,2.200000000000001,13.845833333333337,18.647916666666664,73.76388888888889,18.83055555555556,18.467361111111114,300.1666666666667,,,2.7437499999999995,2.4027777777777772,1182.9583333333333,0.0,1,0,0,0,0,0,0,0
2019-04-13,3.3555555555555543,197.56944444444446,2.049305555555556,19.494444444444447,22.515972222222217,57.895833333333336,22.78749999999999,22.238194444444453,295.72222222222223,,,2.760416666666667,2.3041666666666667,1182.7708333333333,0.0,0,1,0,0,0,0,0,0
2019-04-14,5.779166666666665,223.11111111111111,3.4381944444444437,18.19305555555556,21.30069444444445,59.645833333333336,21.48124999999998,21.13333333333332,174.21527777777777,,,4.528472222222222,3.806944444444444,1165.7222222222222,0.0,0,1,0,0,0,0,0,0
2019-04-15,2.7652777777777793,187.25694444444446,1.8506944444444438,13.170833333333336,17.597916666666663,87.99305555555556,17.72083333333333,17.482638888888893,123.39583333333333,,,2.3625000000000025,2.071527777777777,1182.5,0.011805555555555557,0,1,0,0,0,0,0,0
2019-04-16,3.7506944444444463,221.10416666666666,2.2604166666666665,16.599305555555564,18.30625,83.23611111111111,18.43472222222222,18.173611111111107,177.77083333333334,,,3.0465277777777757,2.502083333333334,1181.826388888889,0.014583333333333334,0,1,0,0,0,0,0,0
2019-04-17,4.496527777777778,215.36111111111111,2.7847222222222214,13.847222222222218,18.00763888888889,76.17361111111111,18.200000000000006,17.81180555555555,270.9375,,,3.6173611111111104,3.0381944444444438,1183.4375,0.0,0,1,0,0,0,0,0,0
2019-04-18,4.13611111111111,193.47916666666666,2.5763888888888884,14.569444444444441,17.425694444444446,73.06944444444444,17.606249999999996,17.25763888888889,270.44444444444446,,,3.40625,2.8583333333333325,1181.4722222222222,0.0,0,1,0,0,0,0,0,0
2019-04-19,5.450694444444444,199.55555555555554,3.285416666666666,14.922222222222226,16.715972222222224,74.79861111111111,16.936111111111114,16.50347222222222,275.7708333333333,,,4.343055555555556,3.5736111111111106,1181.673611111111,0.0041666666666666675,0,1,0,0,0,0,0,0
2019-04-20,4.849999999999998,198.79861111111111,2.7979166666666666,19.136111111111113,16.472916666666674,75.91666666666667,16.679861111111112,16.284722222222225,256.56944444444446,,,3.7923611111111106,3.1180555555555554,1183.201388888889,0.004166666666666667,0,1,0,0,0,0,0,0
2019-04-21,5.679166666666669,215.72916666666666,3.4305555555555576,15.612499999999995,13.713194444444445,80.81944444444444,13.920138888888891,13.522916666666669,170.5625,,,4.54236111111111,3.8645833333333335,1183.423611111111,0.06666666666666665,0,1,0,0,0,0,0,0
