,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,West,North,East,North-East,South
2019-04-01,6.28263888888889,237.04166666666666,4.472916666666666,10.102083333333335,11.768749999999999,64.72222222222223,11.909027777777787,11.637500000000005,,,,5.379166666666667,4.705555555555554,1181.4166666666667,0.0,0,0,1,0,0,0,0,0
2019-04-02,4.730555555555554,242.54861111111111,2.940277777777778,15.368055555555555,13.43611111111111,60.19444444444444,13.624999999999998,13.263888888888891,,,,3.896527777777777,3.211805555555555,1181.6041666666667,0.0,0,0,1,0,0,0,0,0
2019-04-03,3.5173611111111116,148.6875,2.185416666666667,19.10349650349651,14.786111111111113,56.451388888888886,14.938194444444454,14.61875000000001,,,,2.9506944444444425,2.3979166666666676,1166.625,0.0,1,0,0,0,0,0,0,0
2019-04-04,4.895138888888886,201.31944444444446,2.951388888888888,18.140277777777786,16.10972222222222,63.701388888888886,16.25138888888889,15.977083333333338,,,,3.919444444444445,3.1965277777777774,1181.3958333333333,0.0,0,0,1,0,0,0,0,0
2019-04-05,4.5659722222222205,300.72222222222223,2.6472222222222213,17.98333333333333,14.569444444444445,74.18055555555556,14.683333333333337,14.454861111111114,,,,3.6569444444444446,2.8923611111111107,1181.2152777777778,0.0,0,1,0,0,0,0,0,0
2019-04-06,4.218750000000001,119.0625,2.8305555555555553,13.78125,16.50694444444444,61.229166666666664,16.646527777777777,16.39375,,,,3.514583333333333,3.0437499999999997,1183.5694444444443,0.0,1,0,0,0,0,0,0,0
2019-04-07,4.584027777777775,214.78472222222223,2.8187499999999996,16.30833333333333,20.62777777777778,42.52777777777778,20.849305555555564,20.430555555555568,,,,3.808333333333333,3.1124999999999994,1181.861111111111,0.0,0,0,1,0,0,0,0,0
2019-04-08,3.8854166666666665,240.02083333333334,2.3270833333333343,19.230555555555554,18.847916666666666,52.8125,19.00625000000001,18.681944444444447,,,,3.1597222222222228,2.569444444444444,1166.048611111111,0.0,0,0,1,0,0,0,0,0
2019-04-09,5.616666666666665,207.375,3.340277777777777,17.34930555555556,17.363888888888894,60.75694444444444,17.54166666666667,17.195833333333333,,,,4.409722222222226,3.6013888888888883,1182.236111111111,0.0,0,0,1,0,0,0,0,0
2019-04-10,4.288888888888887,288.96527777777777,2.5111111111111115,17.17777777777778,14.757638888888888,62.86805555555556,14.908333333333331,14.622916666666669,,,,3.411805555555557,2.718055555555555,1166.236111111111,0.0,0,1,0,0,0,0,0,0
2019-04-11,4.262500000000001,262.2013888888889,2.5180555555555557,17.076388888888893,14.676388888888889,55.770833333333336,14.838888888888894,14.531944444444438,,,,3.388888888888889,2.70763888888889,1164.701388888889,0.0,0,1,0,0,0,0,0,0
2019-04-12,3.865277777777777,224.4375,2.274305555555556,19.994444444444454,15.797222222222224,58.388888888888886,15.987499999999995,15.61666666666667,,,,3.0909722222222222,2.4826388888888875,1182.0694444444443,0.0,0,0,1,0,0,0,0,0
2019-04-13,4.59236111111111,117.68055555555556,3.044444444444446,13.729166666666664,20.198611111111113,46.791666666666664,20.423611111111118,19.975694444444443,,,,3.8590277777777797,3.292361111111111,1182.8125,0.0,1,0,0,0,0,0,0,0
2019-04-14,7.060416666666665,269.1041666666667,4.556944444444442,13.146527777777784,20.823611111111116,41.395833333333336,20.986805555555545,20.66249999999999,,,,5.711111111111112,4.841666666666666,1181.5,0.0,0,0,1,0,0,0,0,0
2019-04-15,3.495138888888887,209.66666666666666,2.259722222222222,15.743750000000006,15.157638888888888,79.54861111111111,15.289583333333335,15.032638888888894,,,,2.905555555555557,2.4854166666666675,1182.8819444444443,0.003472222222222222,0,0,1,0,0,0,0,0
2019-04-16,4.610869565217391,215.6014492753623,2.8608695652173908,15.986956521739137,15.667132867132874,73.1048951048951,15.7986013986014,15.548951048951047,,,,3.745652173913044,3.109420289855072,1170.5217391304348,0.0,0,0,1,0,0,0,0,0
2019-04-17,6.411805555555553,285.7361111111111,4.147916666666666,12.61319444444445,14.520138888888884,70.43055555555556,14.656250000000004,14.393749999999999,,,,5.196527777777776,4.406249999999999,1181.888888888889,0.0,0,1,0,0,0,0,0,0
2019-04-18,4.797222222222221,268.55555555555554,2.869444444444444,14.047916666666667,13.72152777777778,64.52083333333333,13.869444444444445,13.572222222222223,,,,3.9152777777777774,3.112499999999999,1182.3472222222222,0.0,0,1,0,0,0,0,0,0
