,,,,,,,,,TD,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmax_1,TDmin_1,TD_1,TDmin,TDmax
2018,1,1,0,0,0,0,1,-1,8.88472222222222,20.23472674188013,20.068963318872203,19.904582981628177,20.203029752722085,20.037612975142967,19.873554360745842,20.1739982198863,19.84519325292622,20.008897481792406,8.829861111111114,8.931944444444435
2018,1,2,0,0,0,1,2,-1,11.506944444444446,20.23472674188013,20.068963318872203,19.904582981628177,20.203029752722085,20.037612975142967,19.873554360745842,8.931944444444435,8.829861111111114,8.88472222222222,11.406944444444441,11.610416666666671
2018,1,3,0,0,0,2,3,-1,12.610416666666667,20.23472674188013,20.068963318872203,19.904582981628177,8.931944444444435,8.88472222222222,8.829861111111114,11.610416666666671,11.406944444444441,11.506944444444446,12.468055555555559,12.761111111111108
2018,1,4,0,0,0,3,4,-1,10.143749999999995,8.931944444444435,8.88472222222222,8.829861111111114,11.610416666666671,11.506944444444446,11.406944444444441,12.761111111111108,12.468055555555559,12.610416666666667,9.999999999999993,10.28402777777777
2018,1,5,0,0,0,4,5,-1,9.34722222222222,11.610416666666671,11.506944444444446,11.406944444444441,12.761111111111108,12.610416666666667,12.468055555555559,10.28402777777777,9.999999999999993,10.143749999999995,9.27986111111111,9.415972222222214
2018,1,6,0,0,0,5,6,-1,10.90763888888889,12.761111111111108,12.610416666666667,12.468055555555559,10.28402777777777,10.143749999999995,9.999999999999993,9.415972222222214,9.27986111111111,9.34722222222222,10.752777777777773,11.059027777777779
2018,1,7,0,0,0,6,7,-1,11.00138888888889,10.28402777777777,10.143749999999995,9.999999999999993,9.415972222222214,9.34722222222222,9.27986111111111,11.059027777777779,10.752777777777773,10.90763888888889,10.788888888888891,11.200000000000001
2018,1,8,0,0,0,0,8,-1,11.106338028169016,9.415972222222214,9.34722222222222,9.27986111111111,11.059027777777779,10.90763888888889,10.752777777777773,11.200000000000001,10.788888888888891,11.00138888888889,10.857746478873247,11.367605633802809
2018,1,9,0,0,0,1,9,-1,11.045138888888893,11.059027777777779,10.90763888888889,10.752777777777773,11.200000000000001,11.00138888888889,10.788888888888891,11.367605633802809,10.857746478873247,11.106338028169016,10.859027777777772,11.223611111111111
2018,1,10,0,0,0,2,10,-1,12.579861111111107,11.200000000000001,11.00138888888889,10.788888888888891,11.367605633802809,11.106338028169016,10.857746478873247,11.223611111111111,10.859027777777772,11.045138888888893,12.443055555555553,12.712499999999999
2018,1,11,0,0,0,3,11,-1,14.44583333333333,11.367605633802809,11.106338028169016,10.857746478873247,11.223611111111111,11.045138888888893,10.859027777777772,12.712499999999999,12.443055555555553,12.579861111111107,14.239583333333327,14.65208333333334
2018,1,12,0,0,0,4,12,-1,12.434027777777775,11.223611111111111,11.045138888888893,10.859027777777772,12.712499999999999,12.579861111111107,12.443055555555553,14.65208333333334,14.239583333333327,14.44583333333333,12.202777777777778,12.659722222222223
2018,1,13,0,0,0,5,13,-1,13.851388888888886,12.712499999999999,12.579861111111107,12.443055555555553,14.65208333333334,14.44583333333333,14.239583333333327,12.659722222222223,12.202777777777778,12.434027777777775,13.654861111111115,14.038888888888895
2018,1,14,0,0,0,6,14,-1,10.94097222222222,14.65208333333334,14.44583333333333,14.239583333333327,12.659722222222223,12.434027777777775,12.202777777777778,14.038888888888895,13.654861111111115,13.851388888888886,10.838888888888885,11.042361111111106
2018,1,15,0,0,0,0,15,-1,10.578472222222224,12.659722222222223,12.434027777777775,12.202777777777778,14.038888888888895,13.851388888888886,13.654861111111115,11.042361111111106,10.838888888888885,10.94097222222222,10.41180555555556,10.750000000000004
