,,,,,,,,,TD,RH,RH_1,RH_2,Grad,Grad_1,Grad_3,Grad_2,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmin_1,TDmax_1,TD_1,TDmax,TDmin
2018,1,1,0,0,0,0,1,-1,14.354861111111113,54.65972222222222,,,70.97916666666667,,,,,,,,,,,,,14.515972222222233,14.19027777777779
2018,1,2,0,0,0,1,2,-1,12.94166666666667,61.59722222222222,54.65972222222222,,152.72222222222223,70.97916666666667,,,,,,,,,14.19027777777779,14.515972222222233,14.354861111111113,13.168055555555561,12.727777777777769
2018,1,3,0,0,0,2,3,-1,12.676388888888887,55.145833333333336,61.59722222222222,54.65972222222222,164.79166666666666,152.72222222222223,,70.97916666666667,,,,14.515972222222233,14.354861111111113,14.19027777777779,12.727777777777769,13.168055555555561,12.94166666666667,12.88611111111111,12.45902777777778
2018,1,4,0,0,0,3,4,-1,13.554861111111114,49.479166666666664,55.145833333333336,61.59722222222222,99.68055555555556,164.79166666666666,70.97916666666667,152.72222222222223,14.515972222222233,14.354861111111113,14.19027777777779,13.168055555555561,12.94166666666667,12.727777777777769,12.45902777777778,12.88611111111111,12.676388888888887,13.768055555555547,13.352777777777778
2018,1,5,0,0,0,4,5,-1,16.356250000000003,47.701388888888886,49.479166666666664,55.145833333333336,105.15972222222223,99.68055555555556,152.72222222222223,164.79166666666666,13.168055555555561,12.94166666666667,12.727777777777769,12.88611111111111,12.676388888888887,12.45902777777778,13.352777777777778,13.768055555555547,13.554861111111114,16.506944444444443,16.21180555555557
2018,1,6,0,0,0,5,6,-1,14.67083333333334,68.30555555555556,47.701388888888886,49.479166666666664,21.729166666666668,105.15972222222223,164.79166666666666,99.68055555555556,12.88611111111111,12.676388888888887,12.45902777777778,13.768055555555547,13.554861111111114,13.352777777777778,16.21180555555557,16.506944444444443,16.356250000000003,14.743055555555562,14.608333333333336
2018,1,7,0,0,0,6,7,-1,13.744444444444442,76.99305555555556,68.30555555555556,47.701388888888886,167.83333333333334,21.729166666666668,99.68055555555556,105.15972222222223,13.768055555555547,13.554861111111114,13.352777777777778,16.506944444444443,16.356250000000003,16.21180555555557,14.608333333333336,14.743055555555562,14.67083333333334,13.850694444444445,13.634722222222221
2018,1,8,0,0,0,0,8,-1,13.710563380281691,64.35915492957747,76.99305555555556,68.30555555555556,161.19718309859155,167.83333333333334,105.15972222222223,21.729166666666668,16.506944444444443,16.356250000000003,16.21180555555557,14.743055555555562,14.67083333333334,14.608333333333336,13.634722222222221,13.850694444444445,13.744444444444442,13.88450704225352,13.549999999999999
2018,1,9,0,0,0,1,9,-1,13.022916666666672,55.666666666666664,64.35915492957747,76.99305555555556,168.40972222222223,161.19718309859155,21.729166666666668,167.83333333333334,14.743055555555562,14.67083333333334,14.608333333333336,13.850694444444445,13.744444444444442,13.634722222222221,13.549999999999999,13.88450704225352,13.710563380281691,13.186111111111115,12.861111111111107
2018,1,10,0,0,0,2,10,-1,12.240972222222219,64.0,55.666666666666664,64.35915492957747,160.47222222222223,168.40972222222223,167.83333333333334,161.19718309859155,13.850694444444445,13.744444444444442,13.634722222222221,13.88450704225352,13.710563380281691,13.549999999999999,12.861111111111107,13.186111111111115,13.022916666666672,12.391666666666671,12.105555555555563
2018,1,11,0,0,0,3,11,-1,13.859027777777781,56.47222222222222,64.0,55.666666666666664,179.04166666666666,160.47222222222223,161.19718309859155,168.40972222222223,13.88450704225352,13.710563380281691,13.549999999999999,13.186111111111115,13.022916666666672,12.861111111111107,12.105555555555563,12.391666666666671,12.240972222222219,14.076388888888888,13.652083333333332
2018,1,12,0,0,0,4,12,-1,14.765277777777776,42.833333333333336,56.47222222222222,64.0,169.375,179.04166666666666,168.40972222222223,160.47222222222223,13.186111111111115,13.022916666666672,12.861111111111107,12.391666666666671,12.240972222222219,12.105555555555563,13.652083333333332,14.076388888888888,13.859027777777781,14.94097222222222,14.586805555555559
2018,1,13,0,0,0,5,13,-1,15.332638888888892,54.00694444444444,42.833333333333336,56.47222222222222,152.57638888888889,169.375,160.47222222222223,179.04166666666666,12.391666666666671,12.240972222222219,12.105555555555563,14.076388888888888,13.859027777777781,13.652083333333332,14.586805555555559,14.94097222222222,14.765277777777776,15.529166666666661,15.14930555555555
2018,1,14,0,0,0,6,14,-1,15.958333333333336,41.763888888888886,54.00694444444444,42.833333333333336,167.00694444444446,152.57638888888889,179.04166666666666,169.375,14.076388888888888,13.859027777777781,13.652083333333332,14.94097222222222,14.765277777777776,14.586805555555559,15.14930555555555,15.529166666666661,15.332638888888892,16.14791666666666,15.774999999999997
2018,1,15,0,0,0,0,15,-1,13.899305555555564,56.15277777777778,41.763888888888886,54.00694444444444,157.88888888888889,167.00694444444446,169.375,152.57638888888889,14.94097222222222,14.765277777777776,14.586805555555559,15.529166666666661,15.332638888888892,15.14930555555555,15.774999999999997,16.14791666666666,15.958333333333336,14.116666666666664,13.692361111111106
2018,1,16,0,0,0,1,16,-1,13.92777777777778,62.770833333333336,56.15277777777778,41.763888888888886,176.56944444444446,157.88888888888889,152.57638888888889,167.00694444444446,15.529166666666661,15.332638888888892,15.14930555555555,16.14791666666666,15.958333333333336,15.774999999999997,13.692361111111106,14.116666666666664,13.899305555555564,14.05138888888888,13.79444444444444
2018,1,17,0,0,0,2,17,-1,13.541666666666666,59.96527777777778,62.770833333333336,56.15277777777778,149.17361111111111,176.56944444444446,167.00694444444446,157.88888888888889,16.14791666666666,15.958333333333336,15.774999999999997,14.116666666666664,13.899305555555564,13.692361111111106,13.79444444444444,14.05138888888888,13.92777777777778,13.697222222222226,13.398611111111116
2018,1,18,0,0,0,3,18,-1,13.95416666666666,55.354166666666664,59.96527777777778,62.770833333333336,175.06944444444446,149.17361111111111,157.88888888888889,176.56944444444446,14.116666666666664,13.899305555555564,13.692361111111106,14.05138888888888,13.92777777777778,13.79444444444444,13.398611111111116,13.697222222222226,13.541666666666666,14.168055555555553,13.759027777777781
2018,1,19,0,0,0,4,19,-1,14.752777777777778,45.40277777777778,55.354166666666664,59.96527777777778,95.22222222222223,175.06944444444446,176.56944444444446,149.17361111111111,14.05138888888888,13.92777777777778,13.79444444444444,13.697222222222226,13.541666666666666,13.398611111111116,13.759027777777781,14.168055555555553,13.95416666666666,14.867361111111105,14.650694444444447
